Tape 91A/16|||
|LMP-LM|Okay. Hold on for 30 seconds.|
05 15 49 22|CDR-LM|Hey, while John's talking to me, why don't you check my biopad out. We're going left.|
|CC|Okay, fine. We'll take a check, Geno. Let me ask you one question here on the - on Jack's water - on his PLSS water cell. We're showing about 3 pounds too much water in the LM system, and we're wondering if you got the AUX tanks filled up In Jack's PLSS. Two questions. Did you - were you sure to have the AUX valve open and did you see good clear water in the sight gage with no bubbles after the fill? Over.|
|LMP-LM|I guess we'd have to say yes to those questions, but if you've got a question on it we can go through it again. I'd rather do that than take a chance.|
05 15 50 21|CC|Let me make sure we want to do that. While we're making sure, I checked with both homefronts and Nassau Bay and Tucson are both in good shape. Geno, Tracy upstaged you for about 30 minutes last night on local TV during her own Interview there and drew everybody away from watching EVA during that time. She did very well.|
|CDR-LM|Yes, that sort of - that sort of figures. Key, Gordo, why do you say Jack's PLSS? Did you see the water drop In the LM when we charged mine?|
|CC|It was the profile of the water quantity as you were filling both PLSS's, and it was the fill -during Jack's fill that looked suspicious like just maybe 3 pounds less than there should have been flow when you were filling Jack's.|
|CDR-LM|Yes, well, you know there - it's all - it's only ... to know whether or not you've got it filled. I sure don't want to go out there and have him just have some partial water. So let's do the conservative thing.|
|CC|Okay. I'll - I'll verify that. There was some drinking water going - going out at that time, too, which muddles up the data a little bit, so we're not absolutely certain on that.|
|||
||Tape 91A/17|
|LMP-LM|Okay. We weren't drinking water while we were filling the PLSS, however.|
|CDR-LM|Okay. You come up with what you think best on that, and I going to copy John.|
05 15 52 00|MCC|"Okay, Geno, I don't think you need to copy this. Sort of just - ad-lib it. With your four chrono-paque maps, tape two maps and allow about a 1-inch overlap to a 15-inch by 10-1/2-inch configuration. That's an estimate. And then repeat with two other maps, and then tape both the two maps - now four maps - tape them together, and you'll end up with a sheet that's about 15 inches by 19 inches, a sheet of chronopaque. And then tape both sides of it - the overlapping edges to strengthen it. And you can further strengthen it, if you tape an ""X"" of tape across both sides of it. And then, on the roll up, on the long axis, and secure it with a strip of tape and put it in the ETB. And on that strip of tape you secure it with - be sure and leave a tab on the end of it so you can get it off with your gloves. And then remove clamps from both the utility light units, and open the clamp jaws to max. And then tighten the mounting bracket that you've got on it so it will be swinging around; and stow the clamps in the ETB, You got that, Gene?"|
|CDR-LM|Yes, sir.|
05 15 53 43|MCC|Okay. And then - now you've got everything you need. And it's all put together and all ready to - to be fastened to the - to the Rover. And then when you get the ETB in the seat, you unroll the chronopaque sheet and you locate the front edge with the long axis fore and aft, even with - even with the axle. And you lay the edge of the sheet over the inboard guide rail and you clamp it. And you lay the other edge of the sheet over the outboard guide rail and clamp it. And, as I said, the inboard clamp must be directly over the axle to avoid interference while steering. And tighten the clamps securely, both of them. And then while you're driving around out there by yourself, it would be good if Jack could take a look at it and|
|||
Tape 91A/18|||
||see if you're getting any unusual dynamics. And at station 2, you should inspect the fender for any unusual wear that might have been caused by this mass out there on the fender, of those clamps bouncing up and down. One thing about it, doing it in a suit, Gene, you have to push in with your leg and hold - and it's sort of a two-handed job. And I'm not sure in 1/6 g if you can position the fender, the pseudofender, on there without Jack say holding on to the long end behind the Rover so that won't - won't fall off. It works okay in one g for one man. But I'm not sure it's not a 2-g proposition - a two-man proposition in 1/6. Over.|
05 15 55 27|CDR-LM|Okay. We'll take a look at it, babe.|
|MCC|Okay, and you really have to bear down to get those - -|
|CDR-LM|I just - -|
|MCC|- - things on a dovetail there.|
|CDR-LM|I just want to make sure of the geometry now. We want to put the - take two of those pages and put the 10-inch sides together overlapping, right?|
|MCC|Yes, sir.|
|CDR-LM|Then take two more and put the 10-inch sides together overlapping, right?|
|MCC|That's true.|
|CDR-LM|And then take those two pieces you've got now and put them end to end, so you've got the long - a long fender. Sounds right to me. Sound right to you?|
|MCC|Well, you end up with - you end up with four -you end up with all four pieces in a big rectangle. See what I'm - you see what I'm saying, you've got a 15-inch by 19-inch sheet of paper.|
|||
||Tape 91A/19|
|CDR-LM|Yes, we got it - we got it, John. And I copy the overlap and everything. If you had no overlap, I guess you'd have about 16 by 20.|
|MCC|That's correct. But you need to overlap, and taping both sides of it gives it more strength, which you need in that situation. You just want to make sure it's not more than an inch, or you won't have enough to cover up those dovetails.|
|CDR-LM|Okay, babe, we're going to work on it right now.|
05 15 57 25|CC|Jack and Gene, this is Gordo again. On the PLSS charge, we're recommending you hook up Jack's according to the decal. Go right ahead and - stand by 1. Okay. Go by the decal and do the full 5-minute fill on Jack's PLSS. It'll take that long to get the AUX tanks filled up, if It was indeed empty. And maybe that's something you can start and then work on the - the paper taping. Over.|
|CDR-LM|Okay.|
05 16 00 30|LMP-LM|Okay, Gordy. I started - I'm on step 4 on the decal - step 5 on the decal.|
|CC|Okay, Jack. John Covington advises that the sight gage is not a certain indicator that you're filled, and so we're just going to go by time to be sure, and try to disregard the sight gage readings as a positive Indication anyway.|
|LMP-LM|Okay, understand that from the past, and we went exactly by time before. We'll try it again here.|
05 l6 01 06|CC|Okay.|
05 l6 05 41|CDR-LM|Okay, Gordy. Is that about 5 minutes?|
|CC|Stand by. See if anybody timed you here. That's affirm; 5 minutes now.|
|LMP-LM|Okay. Step 7 is complete.|
|CC|Okay. And we did not see any water flow to speak of, so it probably was full.|
|||
Tape 91A/20|||
|LMP-LM|Yes, the condensate indications here were that it was full.|
|CC|Okay. Better to be sure.|
05 16 07 11|LMP-LM|No questions.|
05 16 09 38|CC|Geno, this is Houston - we want to be sure to have one look at your BIOMED before you get into the suit in case something is wrong with it. And if you go right by the checklist, we'll miss that look. So when you get to a convenient place, if you can go to LEFT and have us take a look at it, we'd appreciate it.|
|CDR-LM|Gordy, apparently you - Okay. Stand by. I called it out. I didn't give it to you. Stand by.|
05 16 10 27|CDR-LM|Okay. Now it's yours.|
|CC|Okay.|
|CC|Okay. That looks good, Geno. You can press on with the suiting operation, there.|
|CDR-LM|Okay. Call me the little old fender maker.|
|CC|Roger.|
|CDR-LM|S-BAND VOICE going to VOICE.|
05 16 12 06|CC|Roger.|
05 16 18 47|CC|Jack, Houston. With respect to the PLSS water fill, last thing we heard you say was doing step 7- We just want to verify that you did go ahead and do step 8, which is connect the waste management system to the PLSS AUX vent for 10 seconds. Over.|
|LMP-LM|Yes, that was all done, Gordy. We just got sidetracked, and I didn't call you.|
05 16 19 08|CC|Okay, Thank you.|
||END OF TAPE|
|||
||Tape 91B/1|
|APOLLO|17 AIR-TO-GROUND VOICE TRANSCRIPTION|
05 16 25 05|CC|Ron, you should not see a tape motion light at LOS here, be - or - flag, because we've got the dump done and rewound ahead of time. They're rewinding it right now.|
|CMP|Oh, okay. Want me to configure the DSE, though, at 39:32 right?|
|CC|That's affirmative.|
|CMP|Okay.|
05 16 28 49|CMP|How's the crew of Challenger? Are they getting about ready to go out again?|
|CC|They're a little bit delayed, Ron, but there's no problem. They just slept a little longer and -Yes, they're in their prep - pre-EVA prep.|
|CMP|Yes .|
|CC|And everything's going good.|
|CMP|Bet they're going to find that Scarp is a pretty good hill.|
05 16 29 19|CC|Roger. We understand.|
|CC|America, Houston. At your convenience, Ron - no hurry on this - we'd like you to service your ZPN sensors on each side there. We're getting some bad data on that now.|
|CMP|'They're itching. (Laughter)|
|CC|Roger.|
|CMP|Yes, it's pretty dry.|
|CC|Roger. The - Dr. Z. recommends you might find a new location for them - just move them around a little bit, and put some cream on the other ones.|
|CMP|Okay.|
|||
Tape 91B/2|||
|CC|There's no hurry on that, Ron, I wouldn't interrupt what you're doing now to - for that - it's not critical.|
|CMP|Okay, I understand, Bob. I'll - -|
|CC|You sound like a tour - -|
|CMP|I will as soon as I get a chance. Okay?|
|CC|Roger. You sound like a tourist up there.|
|CMP|(Laughter) That's right.|
|CC|Going to need a Kodak store here shortly, I'm afraid.|
|CMP|(Laughter)|
|CC|Okay, Ron, you might want to look at your Flight Plan when you get a chance. We're coming up on a SIM bay reconfiguration here shortly.|
|CMP|Ah-ha. Okay.|
|CMP|56, 57, 58, 59 -|
05 16 35 02|CMP|MARK it. OFF.|
|CC|Roger. We got it.|
|CMP|... wherever that is.|
|CMP|Okay. RECORDER is going OFF, not the HEATERS. RADAR is OFF. DATA SYSTEM is ON. Uh-oh. Should have the SM/AC POWER switch up - up there (laughter) at 230, as much as we use It.|
|CC|Roger. I concur with that one. I thought it would only be in the simulation that it would get to you on that one.|
|CDR|(Laughter) Yes. Okay. SM/AC POWER is ON. The old MAPPER's going to STANDBY. IR is going ON. SELF TEST is going to HEATERS. UV is going ON, Now, we're going to open IR and we're going to wait on UV.|
|||
||Tape 91B/3|
05 16 37 19|CC|We concur with that, Ron.|
|CMP|Okay.|
|CC|We'll give you a cue on that UV COVER, OPEN, here.|
05 16 37 33|CMP|Okay, there's the IR. Barber pole. And a gray.|
|CMP|Houston, America.|
|CC|Go ahead, Ron.|
|CMP|Okay. Are you going to try to ship the back-side DSE back in there for this next pass - on the Orbital science visuals and stuff?|
|CC|Ron, we're calling for the DSE operation exactly as - as it is in the Flight Plan. Is that - do you concur with that?|
|CMP|Oh, yes. I concur, but I mean - sure, that's -that's no problem there. But I mean getting it back to Houston before the end of the flight, you know.|
|CC|Negative. That was not in the plans unless you want us to, Ron. We don't have any provision to - to - to record it and send it back here, until it comes back in the transcript form.|
|CMP|Okay, no problem. I'll paraphrase what I say then, and when I get into AOS over there.|
|CC|Okay. No sweat. And if you have something you really want us to listen to, we can bring up the loop to get It, but it takes a little effort, Ron. That's all.|
|CMP|Okay. Yes. No, I - it's - let's don't do it, yet.|
|CC|Ron, I just heard the voice quality has been real good. We've listened to it several different times, and it's been real good and we can bring it in without too much problem. Probably wouldn't be ready for the next rev, but we can get it In here without too much strain, if you want it brought in.|
|||
Tape 91B/4|||
|CMP|Okay. I think it might be worthwhile, especially on - on this particular one, where I'll be essentially talking all the way across, on this one.|
|CC|Okay, we'll just plan on it, Ron.|
|CMP|If it's not too much of a problem. Yes.|
05 16 40 32|CC|Okay, Ron. You can UV COVER, OPEN, anytime.|
|CMP|... Okay. Okay.|
05 16 40 40|CMP|OFF, OPEN, barber pole. And it's gray.|
|CC|Ron, we need to precondition our tanks again. We'd like tank 2 FANs to OFF, please.|
05 16 4l 07|CMP|tank 2 FANs are OFF.|
|CC|Roger.|
|CC|And, Ron, just a reminder, ve will bring in that voice from the - the rev 27 backside pass.|
|CMP|Oh, okay, good. Thank you. Tell the lunar sounder guys I'm sorry if I pointed their antenna in the wrong direction there, for a short period of time.|
|CC|No problem. Just one question, Ron, that is the Hasselblad we're hearing every once in a while, isn't it?|
|CMP|There's what?|
|CC|Is that your camera running? Every once in a while?|
|CMP||
|CC|Yes .|
|CMP|No, not now.|
|||
||Tape 91B/5|
|CC|How about during this eat period - on this pass, were you running the camera quite a bit?|
|CMP|Wo. The only thing was - was the Nikon.|
|CC|Okay, understand. We keep hearing something that sure sounds like the camera is chugging - -|
|CMP|The - might have been picking up the tape re -no, it might have been the tape recorder. Might have been me, trying to clear my ears, you know?|
|CC|No, I don't think so.|
05 16 45 29|CC|Ron, we're a few minutes from LOS. And you're looking real good.|
|CMP|Okay, Robert. Thank you much. We'll see you on the other side.|
|CC|Okeydoke. And I'll try and get through to the -the homefront here, maybe for this next pass. And you are going to be pretty busy, but I'll give you a little update.|
05 16 45 49|CMP|Okay.|
05 IT 06 XX||BEGIN LUNAR REV 27|
05 17 33 16|CMP|... it as well as the - some of the more Eratosthenian craters around Saenger. Looks to me like you can still have a little bit of a hint - at least of the layering, or a broken-up different-colored material at the top of all these craters.|
|CMP|And supposed to stop and rewind the DSE. Forgot to do that.|
|CC|Roger, Ron. We'll take care of the DSE.|
|CMP|Okay. Okay, I'll let you do it.|
|||
Tape 91B/6|||
|CC|Roger, Ron.|
|CMP|Okay.|
|CMP|Okay. I took three, or four, pictures on mag 00 up to frame 104 kind of looking north across the Arabia.|
|CC|Roger, Ron. We copy.|
|CC|Ron. Just some words for you. We placed - -|
|CMP|Okay, kind of a - Okay, go ahead.|
|CC|No, go ahead - go ahead with yours. We don't want to interrupt.|
|CMP|I was just going to say that on the crater Aitken, on the other side, is probably - there are no -no - rays - visible rays that I can see at the low Sun angle, anyhow, coming across there. There's definitely a mare floor in there. It's a dark albedo-type - flat floor with swirls in it; no definite expression of swirls. One thing that's quite apparent, you have a flow scarp in the northeast corner of it coming out of - oh, a little cloverleaf-type of an area there. I'm going to have to look the next pass over it to see if, on account of the south domical structure that's in there, it's breached. And I can't tell if the flow of material is flowing to the east out of that domical structure or if the flow is flowing into the domical structure. I ought to take a better look at that the next time - the next time around.|
05 IT 37 11|CC|Roger. We got you. See any lava marks on the crater rims, there?|
|CMP|Well, that's - that's the - the lava mark is what I'd call - is almost a lava scarp - in - up in the northeast corner. There are some lava marks along the central peak. They aren't nearly as apparent as the one up in the northeast corner. The northeast corner is definitely a flow front -a lava flow front, that has flown up the - the old interior wall of the crater.|
|||
||Tape 91B/T|
|CC|Roger, Ron. What's the color of the dome in Aitken?|
|CMP|Well, the color of the dome in Aitken is - the colors are hard to - to visualize - the color of the dome is essentially the same as, as - pretty much the surrounding material around there. Maybe a little bit lighter - a little bit lighter than the surrounding material. Of course it's definitely lighter than the floor. The floor itself, to me, has a tan - had a tan to it.|
|CC|Okay, Ron. We'll have to break away here a second. PAN CAMERA MODE to STANDBY.|
05 17 38 41|CMP|Okay.|
|CC|If you haven't got your Plight Plan, it's PAN CAMERA MODE to STANDBY, then POWER ON.|
05 17 38 55|CMP|... Okay, POWER is going ON.|
|CC|Okay, Ron. And it's time to charge battery A and we'll cue you on the PAN CAMERA POWER OFF. Okay, that should have been deleted. We've already charged the bat A, so - -|
|CMP|... Yes. Yes. It's already charging.|
|CC|Right. Sorry about that, Ron.|
|CMP|Okay, no problem.|
05 17 39 17|CC|How about the freshness of the wall and ejecta materials, and the brightness of the rim deposits on Aitken while we have a minute here.|
|CMP|Okay. The brightness of the rim deposits are a little bit brighter than the surrounding area on the thing. The way that you put It, probably early Eratosthenian. It's definitely not Copernican because I can't see - well, at least in that low Sun - I can't see any rays - any rays around it. But probably late Eratosthenian -somewhere in that area because you have the slumping - Well, it's not subdued at all. The walls themselves - of the crater are not subdued. They are fairly fresh - not as fresh as Copernican.|
|||
Tape 91B/8|||
||And - and I just can't remember whether we had the - seems to me like it was brighter at the higher Sun angles around there, which indicate that there would still be some remnants of a -of a bright ring around it.|
|CC|Okay, Ron. And whenever you're ready, PAN CAMERA POWER to OFF.|
05 17 40 35|CMP|PAN CAMERA POWER is going OFF.|
|CC|And -we're with all eyes here waiting for a Crisium-Serenitatis visual.|
|CMP|(Laughter) Okay.|
