photo_num|principal_lat|principal_long|camera_tilt|camera_azimuth|alt_km|lens_mm|sun_elevation|activity_name|description
20193|||||||||BLANK
20194||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20195||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TD STA 4
20196||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20197||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20198||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20199||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20200||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20201||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20202||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20203||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20204||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20205||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20206||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20207||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20208||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4, SPL 4115
20209||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20210||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20211||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20212||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20213||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20214||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20215||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20216||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20217||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20218||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20219||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20220||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20221||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20222||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20223||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20224||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20225||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20226||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20227||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4
20228||||||60|27|EVA 2|STA 4, PAN
20229||||||60|27|EVA 2|STA 4, PAN, SCOOP
20230||||||60|27|EVA 2|STA 4, PAN
20231||||||60|27|EVA 2|STA 4, PAN
20232||||||60|27|EVA 2|STA 4, PAN, SCOOP
20233||||||60|27|EVA 2|STA 4, PAN
20234||||||60|27|EVA 2|STA 4, PAN
20235||||||60|27|EVA 2|STA 4, PAN
20236||||||60|27|EVA 2|STA 4, PAN
20237||||||60|27|EVA 2|STA 4, PAN
20238||||||60|27|EVA 2|STA 4, PAN
20239||||||60|27|EVA 2|STA 4, PAN
20240||||||60|27|EVA 2|STA 4, PAN
20241||||||60|27|EVA 2|STA 4, PAN
20242||||||60|27|EVA 2|STA 4, PAN
20243||||||60|27|EVA 2|STA 4, PAN
20244||||||60|27|EVA 2|STA 4, PAN
20245||||||60|27|EVA 2|STA 4, PAN, CDR
20246||||||60|27|EVA 2|STA 4, PAN, CDR
20247||||||60|27|EVA 2|STA 4, PAN, CDR, LRV
20248||||||60|27|EVA 2|STA 4, PAN, CDR LRV
20249||||||60|27|EVA 2|STA 4, PAN, LRV
20250||||||60|27|EVA 2|STA 4, PAN, CDR, LRV
20251||||||60|27|EVA 2|STA 4, PAN, LRV
20252||||||60|27|EVA 2|STA 4, PAN, LRV
20253||||||60|27|EVA 2|STA 4, PAN
20254||||||60|27|EVA 2|STA 4, PAN
20255||||||60|27|EVA 2|STA 4, PAN
20256||||||60|27|EVA 2|STA 4, PAN
20257||||||60|27|EVA 2|STA4,PAN, OVEREXPOSED
20258||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20259||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20260||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20261||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20262||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20263||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20264||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20265||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20266||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20267||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20268||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED
20269||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20270||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20271||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20272||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20273||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20274||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20275||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20276||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20277||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20278||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
20279||||||60|28|EVA 2|LRV TRAVERSE, STA 4 TO STA 5
