NASA PHOTO NO.|photo_num|mag_number|mag_code|film_type|revolution_num|alt_km|sun_elevation|lens_mm|camera_tilt|camera_azimuth|principal_lat|principal_long|description
151-23106|23106|151|OO|S0-368|01|134|00|80|59|316|13.8 S|152.8 W|GALOIS
151-23107|23107|151|OO|S0-368|01|||80||||155.5 W|DOPPLER, KOROLEV
151-23108|23108|151|OO|S0-368|01|123|05|80|48|338|14.6 S|157.4 W|DOPPLER, KOROLEV
151-23109|23109|151|OO|S0-368|01|||80||||157.0 W|KOROLEV
151-23110|23110|151|OO|S0-368|01|||80||||157.0 W|KOROLEV
151-23111|23111|151|OO|S0-368|01|||80||||157.0 W|DOPPLER, KOROLEV
151-23624|23624|151|OO|2485|02|105|04|80|63|165|26.9 S|158.3 W|DRYDEN, WALKER, APOLLO
150-22942|22942|151|LL|SO-368|16|114|02|80|56|185|25.3 S|169.3 W|RUMFORD, SNIADECKI
150-22943|22943|151|LL|SO-368|16|114|02|80|57|185|24.6 S|169.5 W|RUMFORD, SNIADECKI
151-23112|23112|151|OO|SO-368|01|120|08|80|69|355|01.1 S|160.1 W|DOPPLER, KOROLEV
151-23113|23113|151|OO|SO-368|01|119|07|80|59|352|11.3 S|160.0 W|DOPPLER, KOROLEV
151-23114|23114|151|OO|SO-368|01|117|11|80|66|351|06.7 S|163:1 W|DOPPLER, KOROLEV, CROOKES
151-23115|23115|151|OO|SO-368|01|116|10|80|56|357|12.1 S|162.3 W|DOPPLER, KOROLEV, CROOKES
151-23116|23116|151|OO|SO-368|01|115|11|80|53|352|12.7 S|163.7 W|KOROLEV, CROOKES
151-23117|23117|151|OO|SO-368|01|114|12|80|56|356|11.9 S|164.1 W|KOROLEV, CROOKES
151-23118|23118|151|OO|SO-368|01|114|09|80|63|345|10.2 S|161.6 W|KOROLEV, CROOKES
151-23119|23119|151|OO|SO-368|01|113|15|80|62|347|09.7 S|167.1 W|CROOKES
151-23120|23120|151|OO|SO-368|01|111|16|80|63|352|09.1 S|168.1 W|CROOKES, ICARUS
151-23121|23121|151|OO|SO-368|01|111|15|80|41|354|14.3 S|168.0 W|CROOKES, SW OF
151-23191|23191|151|OO|SO-368|01|105|13|250|40|168|20.8 S|169.1 W|SNIADECKI, N OF
151-23192|23192|151|OO|SO-368|04|105|13|250|49|055|20.4 S|168.9 W|SNIADECKI, N OF
151-23193|23193|151|OO|SO-368|04|104|13|250|51|053|20.9 S|169.5 W|SNIADECKI, N RIM
154-23625|23625|154|QQ|2485|02|105|07|80|63|182|27.1 S|162.1 W|DRYDEN, WALKER, APOLLO, OPPENHEIMER
162-24101|24101|162|SS|SO-168|15|||55||||166.0 W|FARSIDE TERMINATOR
162-24103|24103|162|SS|SO-168|15|112|02|55|65|237|25.4 S|168.5 W|RUMFORD, ORLOV
150-22944|22944|150|LL|SO-368|16|114|03|80|58|190|25.9 S |170.3 W|RUMFORD, SNIADECKI
150-22945|22945|150|LL|SO-368|16|114|04|80|57|193|25.6 S |171.2 W|RUMFORD, SNIADECKI, ORLOV
150-22946|22946|150|LL|SO-368|16|114|05|80|56|194|25.1 S |172.7 W|RUMFORD, ORLOV
150-22947|22947|150|LL|SO-368|16|115|06|80|55|195|24.8 S |174.1 W|ORLOV, LEEUWENHOEK
150-22948|22948|150|LL|SO-368|16|115|08|80|55|195|25.3 S |175.2 W|ORLOV, LEEUWENHOEK
150-22949|22949|150|LL|SO-368|16|115|08|80|50|199|23.4 S |175.8 W|ORLOV, LEEUWENHOEK
150-22950|22950|150|LL|SO-368|16|115|09|80|46|194|22.5 S |177.1 W|DE VRIES, S WALL
150-22951|22951|150|LL|SO-368|16|116|10|80|48|197|22.8 S |178.0 W|LEEUWENHOEK, NASSAU
150-22952|22952|150|LL|SO-368|16|116|11|80|45|193|22.0 S |178.7 W|NASSAU
150-22953|22953|150|LL|SO-368|17|116|12|80|45|198|22.0 S |180 W|NASSAU
151-23122|23122|151|OO|SO-368|01|110|21|80|54|293|15.3 S |173.6 W|MCKELLAR, W WALL
151-23123|23123|151|OO|SO-368|01|110|22|80|56|280|16.3 S |174.9 W|RACAH
151-23124|23124|151|OO|SO-368|01|109|23|80|59|276|16.6 S |176.5 W|RACAH
151-23125|23125|151|OO|SO-368|01|109|23|80|58|278|16.3 S |176.7 W|RACAH
151-23126|23126|151|OO|SO-368|01|108|24|80|57|281|16.0 S |177.0 W|RACAH
151-23127|23127|151|OO|SO-368|01|107|26|80|62|281|15.4 S |179.5 W|RACAH
159-23917|23917|159|XX|2435|26|118|10|55|28|315|17.0 S |173.4 W|AITKEN
162-24102|24102|162|SS|SO-168|15|110|05|55|70|288|14.4 S |171.2 W|MCKELLAR
162-24104|24104|162|SS|SO-168|15|113|04|55|58|230|23.9 S |170.4 W|SNIADECKI, ORLOV
162-24105|24105|162|SS|SO-168|15|114|08|55|60|239|23.1 S |174.4 W|ORLOV
162-24106|24106|162|SS|SO-168|15|114|06|55|65|345|09.4 S|172.2 W|AMICI, ICARUS
149-22795|22795|149|KK|SO-368|16|118|18|250|15|194|18.0 S|174.6 E|AITKEN, SE WALL
149-22796|22796|149|KK|SO-368|16|118|19|250|08|200|17.4 S|174.1 E|AITKEN, SE WALL
149-22797|22797|149|KK|SO-368|16|118|20|250|18|195|17.9 S|172.7 E|AITKEN, FLOOR '
149-22798|22798|149|KK|SO-368|16|118|21|250|10|188|17.2 S|172.4 E|AITKEN, FLOOR
149-22799|22799|149|KK|SO-368|16|118|22|250|03|203|16.5 S|171.3 E|AITKEN, W WALL
149-22800|22800|149|KK|SO-368|16|119|22|250|04|210|16.5 S|171.1 E|AITKEN, W WALL
150-22954|22954|150|LL|SO-368|17|116|12|80|35|197|20.7 S|179.7 E|BERGSTRAND, SE OF
150-22955|22955|150|LL|SO-368|17|116|13|80|34|200|20.4 S|178.8 E|BERGSTRAND, SE OF
150-22956|22956|150|LL|SO-368|17|117|14|80|34|198|20.3 S|177.8 E|BERGSTRAND, SE OF
150-22957|22957|150|LL|SO-368|17|117|15|80|34|194|20.2 S|176.6 E|BERGSTRAND
150-22958|22958|150|LL|SO-368|17|117|16|80|37|191|20.3 S|175.4 E|BERGSTRAND
150-22959|22959|150|LL|SO-368|17|117|18|80|57|199|23.6 S|173.5 E|VAN DE GRAFF
150-22960|22960|150|LL|SO-368|17|118|18|80|39|193|20.2 S|174.0 E|AITKEN, S WALL
150-22961|22961|150|LL|SO-368|17|118|19|80|38|199|19.9 S|173.1 E|AITKEN, S WALL
150-22962|22962|150|LL|SO-368|17|118|19|80|15|201|17.8 S|172.9 E|AITKEN
150-22963|22963|150|LL|SO-368|17|118|20|80|33|197|19.3 S|172.2 E|AITKEN, S WALL
150-22964|22964|150|LL|SO-368|17|118|21|80|32|196|19.0 S|171.2 E|AITKEN, SW WALL
150-22965|22965|150|LL|SO-368|17|118|20|80|15|187|17.6 S|171.9 E|AITKEN
150-22966|22966|150|LL|SO-368|17|118|21|80|29|194|18.6 S|171.0 E|AITKEN,SW WALL
151-23128|23128|151|OO|SO-368|02|||80||||179.0 E|RACAH, W WALL
151-23129|23129|151|OO|SO-368|02|106|27|80|62|294|13.5 S|179.9 E|RACAH
151-23130|23130|151|OO|SO-368|02|106|27|80|60|292|13.8 S|179.8 E|RACAH
151-23131|23131|151|OO|SO-368|02|105|27|80|59|291|14.2 S|179.5 E|RACAH
151-23132|23132|151|OO|SO-368|02|||80||||176.0 E|DAEDALUS, W OF
151-23133|23133|151|OO|SO-368|02|100|30|80|62|344|08.0 S|176.8 E|DAEDALUS
151-23134|23134|151|OO|SO-368|02|100|30|80|62|353|07.4 S|177.2 E|DAEDALUS
151-23135|23135|151|OO|SO-368|02|099|30|80|62|003|07.4 S|177.7 E|DAEDALUS, W WALL
151-23136|23136|151|OO|SO-368|02|||80||||177.0 E|DAEDALUS
151-23137|23137|151|OO|SO-368|02|||80||||179.2 E|DAEDALUS, W WALL
151-23138|23138|151|OO|SO-368|02|098|32|80|67|000|03.8 S|175.4 E|DAEDALUS
151-23139|23139|151|OO|SO-368|02|098|33|80|63|356|06.5 S|174.3 E|DAEDALUS, W OF
151-23140|23140|151|OO|SO-368|02|098|33|80|60|359|07.3 S|174.0 E|DAEDALUS, W OF
151-23194|23194|151|OO|SO-368|05|100|30|250|39|152|16.8 S|172.9 E|AITKEN
151-23195|23195|151|OO|SO-368|05|100|31|250|40|158|16.6 S|172.6 E|AITKEN
151-23210|23210|151|OO|SO-368|28|117|08|80|57|292|16.8 S|174.0 E|AITKEN
153-23516|23516|153|MM|SO-368|36|117|00|250|66|231|26.4 S|173.6 E|VAN DE GRAAFF
153-23518|23518|153|MM|SO-368|36|117|01|250|64|224|27.2 S|172.9 E|VAN DE GAAAFF, THOMSON
153-23520|23520|153|MM|SO-368|36|117|01|250|66|211|30.2 S|172.9 E|VAN DE GRAAFF, BIRKELAND
153-23521|23521|153|MM|SO-368|36|117|03|250|67|224|28.6 S|170.4 E|VAN DE GRAAFF
153-23526|23526|153|MM|SO-368|36|118|03|250|64|223|27.0 S|170.5 E|VAN DE GRAAFF, ZELINSKY
153-23527|23527|153|MM|SO-368|36|118|03|250|66|209|30.0 S|171.0 E|VAN DE GRAAFF, THOMSON, BIRKELAND
154-23683|23683|154|QQ|2485|37|118||250||||173.0 E|NEAR AITKEN, NOT LOCATED
154-23684|23684|154|QQ|2485|37|118|02|250|66|344|07.9 S|170.9 E|HEAVISIDE, NE OF
159-23932|23932|159|XX|2485|30|119|06|55|22|004|17.0 S|173.6 E|AITKEN
149-22801|22801|149|KK|SO-368|16|119|23|250|27|212|18.0 S|169.9 E|AITKEN, SW FLANK
149-22802|22802|149|KK|SO-368|16|119|24|250|13|205|16.6 S|168.4 E|HEAVISIDE, S OF
149-22803|22803|149|KK|SO-368|16|119|25|250|66|207|16.0 S|168.0 E|HEAVISIDE, S OF
149-22804|22804|149|KK|SO-368|16|119|25|250|33|203|15.8 S|167.5 E|HEAVISIDE, S OF
149-22805|22805|149|KK|SO-368|16|119|26|250|04|207|15.6 S|167.1 E|HEAVISIDE, S OF
149-22806|22806|149|KK|SO-368|16|120|27|250|03|205|15.4 S|166.3 E|HEAVISIDE, S OF
149-22807|22807|149|KK|SO-368|16|120|27|250|02|205|15.2 S|165.8 E|HEAVISIDE, S OF
149-22808|22808|149|KK|SO-368|16|120|28|250|22|152|16.1 S|164.9 E|HEAVISIDE, S OF
149-22809|22809|149|KK|SO-368|16|120|28|250|15|140|15.5 S|164.6 E|HEAVISIDE, S OF
149-22810|22810|149|KK|SO-368|16|120|28|250|30|162|16.9 S|164.4 E|HEAVISIDE, S OF
149-22811|22811|149|KK|SO-368|16|120|30|250|21|180|16.0 S|163.1 E|HEAVISIDE, S OF
149-22812|22812|149|KK|SO-368|16|121|31|250|VERT||14.1 S|161.7 E|KEELER, S OF
149-22813|22813|149|KK|SO-368|16|121|31|250|03|045|13.9 S|161.7 E|KEELER, S OF
149-22814|22814|149|KK|SO-368|16|121|31|250|10|043|13.5 S|161.7 E|KEELER, S OF
149-22815|22815|149|KK|SO-368|16|121|32|250|15|215|14.8 S|160.2 E|GEIGER, E OF
149-22816|22816|149|KK|SO-368|16|121|33|250|02|212|13.8 S|160.1 E|GEIGER, E OF
150-22967|22967|150|LL|SO-368|17|119|22|80|24|191|17.9 S|169.4 E|AITKEN, W OF
150-22968|22968|150|LL|SO-368|17|119|23|80|25|193|17.8 S|168.4 E|AITKEN, W OF
150-22969|22969|150|LL|SO-368|17|119|24|80|34|192|18.4 S|167.7 E|AITKEN, W OF
150-22970|22970|150|LL|SO-368|17|119|26|80|43|197|19.2 S|165.6 E|PARACELSUS
150-22971|22971|150|LL|SO-368|17|120|27|80|48|194|19.8 S|164.1 E|PARACELSUS
150-22972|22972|150|LL|SO-368|17|120|28|80|49|191|19.8 S|163.5 E|PARACELSUS
150-22973|22973|150|LL|SO-368|17|120|29|80|47|199|19.2 S|162.2 E|PARACELSUS, BARBIER
150-22974|22974|150|LL|SO-368|17|120|30|80|39|205|17.6 S|161.6 E|CYRANO, NE RIM
150-22975|22975|150|LL|SO-368|17|120|30|80|50|197|19.6 S|161.3 E|PARACELSUS, BARBIER
151-23141|23141|151|OO|SO-368|02|097|40|80|69|333|02.6 S|167.7 E|HEAVISIDE, N OF
151-23142|23142|151|OO|SO-368|02|096|40|80|63|338|06.0 S|167.2 E|HEAVISIDE, N WALL
151-23143|23143|151|OO|SO-368|02|096|39|80|62|349|05.8 S|168.0 E|HEAVISIDE, N WALL
151-23144|23144|151|OO|SO-368|02|096|40|80|61|345|05.9 S|166.8 E|HEAVISIDE, N WALL
151-23145|23145|151|OO|SO-368|02|095|41|80|64|008|03.9 S|166.5 E|HEAVISIDE, N WALL, STRATTON, DEWAR
151-23146|23146|151|OO|SO-368|02|095|43|80|62|000|04.4 S|164.8 E|HEAVISIDE, N WALL,STRATTON, DEWAR
151-23147|23147|151|OO|SO-368|02|094|44|80|61|359|04.4 S|163.8 E|KEELER, N WALL, STRATTON, DEWAR
151-23148|23148|151|OO|SO-368|02|094|45|80|62|355|03.8 S|162.6 E|KEELER, N WALL, STRATTON, DEWAR
151-23149|23149|151|OO|SO-368|02|094|46|80|61|352|04.2 S|161.4 E|KEELER, N WALL
151-23234|23234|151|OO|SO-368|41|121|07|80|65|151|27.7 S|160.9 E|CYRANO, PARACELSUS, THOMSON
153-23517|23517|153|MM|SO-368|36|117|04|250|68|231|29.4 S|169.4 E|VAN DE GRAAFF, THOMSON
153-23523|23523|153|MM|SO-368|36|118|05|250|67|224|29.4 S|168.7 E|VAN DE GRAAFF, THOMSON
153-23524|23524|153|MM|SO-368|36|118|04|250|67|223|29.0 S|169.1 E|VAN DE GRAAFF, THOMSON, ZELINSKY
153-23525|23525|153|MM|SO-368|36|118|05|250|67|224|28.6 S|168.9 E|VAN DE GRAAFF, THOMSON, ZELINSKY
153-23528|23528|153|MM|SO-368|36|118|05|250|66|222|28.3 S|168.0 E|VAN DE GRAAFF, THOMSON, ZELINSKY
153-23529|23529|153|MM|SO-368|36|118|06|250|66|223|28.1 S|167.6 E|VAN DE GRAAFF, THOMSON, ZELINSKY
153-23530|23530|153|MM|SO-368|36|118|06|250|65|222|27.6 S|167.4 E|VAN DE GRAAFF, E WALL, ZELINSKY
153-23531|23531|153|MM|SO-368|36|118|06|250|65|224|27.1 S|167.0 E|ZELINSKY, THOMSON, lNGENUITY, SEA OF
153-23532|23532|153|MM|SO-368|36|118|06|250|65|224|27.0 S|166.8 E|ZELINSKY, THOMSON, lNGENUITY, SEA OF
153-23533|23533|153|MM|SO-368|36|118|06|250|64|225|26.5 S|166.8 E|ZELINSKY, THOMSON, lNGENUITY, SEA OF
153-23534|23534|153|MM|SO-368|36|119|08|250|64|223|27.0 S|165.6 E|ZELINSKY, lNGENUITY, SEA OF
