NASA PHOTO NO. AS17-|photo_num|mag_number|mag_code|film_type|sun_elevation|lens_mm|EVA|DESCRIPTION|||
147-22469|22469|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22470|22470|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22471|22471|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22472|22472|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22473|22473|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22474|22474|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22475|22475|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22476|22476|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22477|22477|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22478|22478|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22479|22479|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22480|22480|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22481|22481|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22482|22482|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22483|22483|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22484|22484|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22485|22485|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22486|22486|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22487|22487|147|A|SO-368|13|60|PPE EVA 1|LM WINDOW PAN|||
147-22488|22488|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22489|22489|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22490|22490|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22491|22491|147|A|SO-368|13|60|PRE EVA 1|LM WINDOW PAN|||
147-22492|22492|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22493|22493|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22494|22494|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22495|22495|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22496|22496|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22497|22497|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22498|22498|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22499|22499|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22500|22500|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22501|22501|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22502|22502|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22503|22503|147|A|SO-368|15|60|1|STA LM, PAN|||
147-22504|22504|147|A|SO-368|15|60|1|STA LM, PAN|||
