photo_num|mag_number|description|date|photographer
72-H-1190||Apollo 17 Commander Gene Cernan waves at NASA tourists from a lunar rover training vehicle||
72-H-1220||The Apollo 17 crew witnesses the rollout of the Apollo 17 Saturn V launch vehicle|28-Aug-72|
72-H-1221||The Apollo 17 space vehicle is shown at launch complex 39-A|6-Nov-72|
72-H-1224||The Apollo 17 space vehicle is shown at launch complex 39-A|6-Nov-72|
72-H-1226||Cernan and Schmitt practice stowing equipment during an EVA exercise||J.L. Pickering
72-H-1227||Apollo 17 astronauts Schmitt and Cernan in the Lunar Rover during EVA simulation||
72-H-1228||Apollo 17 astronauts Schmitt (left) and Cernan (right) practice taking lunar soil and rock samples during an EVA exercise||
72-H-1229||Apollo 17 astronauts Schmitt (left) and Cernan (right) during EVA rehearsal||
72-H-126||Schmitt and Cernan check terrain maps during a visit to Boulder City, Nevada|24-Jan-72|J.L. Pickering
72-H-128||Schmitt and Cernan check rock samples during a visit to Boulder City, Nevada|24-Jan-72|J.L. Pickering
72-H-1285||Working in a one sixth gravity environment similar to that on the lunar surface, Eugene Cernan deploys simulated lunar equipment.|25-Sep-72|Ed Hengeveld
72-H-1286||Working in a one sixth gravity environment similar to that on the lunar surface, Harrison Schmitt deploys simulated lunar equipment.|25-Sep-72|Ed Hengeveld
72-H-1334||Ronald Evans practices retrieving the film canister during water EVA exercises at Building 5.|3-Oct-72|Ed Hengeveld
72-H-1374||Ron Evans (center) reviews a lunar mapping chart with Bob Overmyer (left) and Farouk El-Baz (right)|16-Oct-72|Ed Hengeveld
72-H-1388||Eugene Cernan prepares for a checkout flight in the Lunar Landing Training Vehicle at Ellington AF Base.|16-Oct-72|Ed Hengeveld
72-H-1396||Apollo 17 Lunar Module Pilot Harrison Schmitt briefs the press on the Taurus-Littrow landing site|1-Nov-72|J.L. Pickering
72-H-1410||Apollo 17 Lunar Module Pilot Harrison Schmit has deployed the surface electrical properties experiment solar panel, and returns to the LRV driven by Eugene Cernan during an Apollo 17 training session|2-Nov-72|J.L. Pickering
72-H-1411||Apollo 17 Lunar Module Pilot Harrison Schmitt deploys an explosive charge during the EVA-1 traverse in a training session|2-Nov-72|J.L. Pickering
72-H-1412||Apollo 17 Lunar Module Pilot Harrison Schmitt deploys a geophone of the Lunar Seismic Profiling Experiment into the subsurface during a training exercise|2-Nov-72|J.L. Pickering
72-H-1413||Lunar Module for the Apollo 17 mission undergoes final checkout in the Manned Spacecraft Operations Building prior to mating to the Saturn V launch vehicle.|2-Nov-72|Ed Hengeveld
72-H-1420||The Apollo 17 Lunar Module undergoes testing prior to being enclosed in the adapter that will house it during the first four hours of flight to the Moon|7-Nov-72|
72-H-1460||Apollo 17 astronauts are seen suited up prior to final portion of week-long Countdown Demonstration Test|30-Nov-72|J.L. Pickering
72-H-1462||Cernan being suited in preparation for CDDT|30-Nov-72|J.L. Pickering
72-H-1464||Evans suits up in preparation for CDDT|30-Nov-72|J.L. Pickering
72-H-1468||Launch Control Center during Apollo 17 Countdown Demonstration Test|21-Nov-72|J.L. Pickering
72-H-1499||The Apollo 17 crew share a laugh during training|1-Dec-72|Ed Hengeveld
72-H-1500||Harrison Schmitt reads sign signaling that final launch preparations are proceeding on schedule toward a liftoff to the Moon.|1-Dec-72|Ed Hengeveld
72-H-1501||Harrison Schmitt waves to ground crew personnel as he prepares to fly a T-38 jet aircraft on a training flight over the Spaceport area.|2-Dec-72|Ed Hengeveld
72-H-1502||Ronald Evans affixes the Apollo 17 insignia to a T-38 jet aircraft at Patrick Air Force Base just south of the Kennedy Space Center|2-Dec-72|Ed Hengeveld
72-H-1503||Eugene Cernan affixes the Apollo 17 insignia to a T-38 jet aircraft at Patrick Air Force Base just south of the Kennedy Space Center.|2-Dec-72|Ed Hengeveld
72-H-1504||Ronald Evans and Eugene Cernan discuss their flight plans as each prepares to fly a T-38 jet aircraft at Patrick Air Force Base.|2-Dec-72|Ed Hengeveld
72-H-1505||Apollo 17 crewmembers review lunar flight plan|3-Dec-72|J.L. Pickering
72-H-1508||Apollo 17 crewmembers examine a commemorative display at the base of their Saturn V|4-Dec-72|Ed Hengeveld
72-H-1509||Apollo 17 crewmembers at the base of the Saturn V|4-Dec-72|Ed Hengeveld
72-H-1512||Eugene Cernan and Harrison Schmitt familiarize themselves with equipment used in the Lunar Module.|1-Dec-72|Ed Hengeveld
72-H-1516||Cernan waves to well-wishers as he and other Apollo 17 crewmembers leave the suiting area for brief ride to launch pad|6-Dec-72|J.L. Pickering
72-H-1517||Gene Cernan says goodbye to his family during the Apollo 17 walkout. KSC Security Chief Charlie Buckey is on the right|6-Dec-72|J.L. Pickering
72-H-1550||Apollo 17 descends toward splashdown||
72-H-1552||a camera from a helicopter captures the moment of splashdown for Apollo 17||research: Hamish Lindsay
72-H-1559||Two US Navy pararescueman jump from recovery helicopter with spacecraft flotation collar which they later attached to Apollo 17 spacecraft.||
72-H-1560||Main elements of Apollo 17 recovery operations highlight this view shortly after splashdown into the Pacific Ocean.||
72-H-1561||Eugene Cernan was the first member of the returning Moon crew to address personnel and guests aboard this prime recovery vessel.||
72-H-1566||a Navy diver helps Jack Schmitt from the CM during recovery||
72-H-1570||a Navy diver helps Gene Cernan from the CM during recovery||
72-H-1639||Gene Cernan with his mother during the Apollo 17 crew reception at Ellington AFB|21-Dec-72|J.L. Pickering
72-H-251||The Commander for the Apollo 17 Mission, Eugene Cernan is shown during a final flight suit fit check at the ILC Industries Inc. Plant at Dover.|6-Mar-72|Ed Hengeveld
72-H-253||The Commander for the Apollo 17 Mission, Eugene Cernan is shown during a final flight suit fit check at the ILC Industries Inc. Plant at Dover.|6-Mar-72|Ed Hengeveld
72-H-297||Ronald Evans undergoes final flight fit checkout and integration of the Apollo 7-L spacesuit.|13-Mar-72|Ed Hengeveld
