GET_taken|photo_num|mag_number|mag_code|film_type|revolution_num|principal_lat|principal_long|camera_tilt|camera_azimuth|alt_km|lens_mm|sun_elevation|activity_name|description|photographer|date_taken
skip|20193|133|J|||||||||||BLANK|Jack Schmitt|1
145:06:05|20194|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|2
145:06:30|20195|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TD STA 4|Jack Schmitt|3
145:07:00|20196|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|4
145:07:52|20197|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|5
145:08:10|20198|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|6
145:08:15|20199|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|7
145:08:20|20200|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|8
145:08:25|20201|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|9
145:09:06|20202|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|10
145:09:30|20203|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|11
145:10:00|20204|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|12
145:10:39|20205|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|13
145:11:00|20206|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|14
145:11:20|20207|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|15
145:11:50|20208|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|16
145:12:00|20209|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|17
145:12:10|20210|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|18
145:12:30|20211|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|19
145:12:50|20212|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|20
145:13:10|20213|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|21
145:13:30|20214|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|22
145:14:00|20215|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|23
145:14:45|20216|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|24
145:15:35|20217|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|25
145:17:41|20218|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|26
145:17:55|20219|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|27
145:18:00|20220|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|28
145:18:20|20221|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|29
145:18:40|20222|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|30
145:19:47|20223|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|31
145:20:20|20224|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|32
145:20:40|20225|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|33
145:21:00|20226|133|J|3401|||||||60|27|EVA 2|LRV TRAVERSE, STA 3 TO STA 4|Jack Schmitt|34
145:21:38|20227|133|J|3401|||||||60|27|EVA 2|LRV traverse / Station 3 to Station 4|Jack Schmitt|35
145:22:14|20228|133|J|3401|||||||60|27|EVA 2|Station 4 / pan frame - Turning to park at Shorty Crater|Jack Schmitt|36
145:27:24|20229|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, SCOOP|Jack Schmitt|37
145:27:26|20230|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|38
145:27:28|20231|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|39
145:27:30|20232|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, SCOOP|Jack Schmitt|40
145:27:32|20233|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|41
145:27:34|20234|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|42
145:27:36|20235|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|43
145:27:38|20236|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|44
145:27:40|20237|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|45
145:27:42|20238|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|46
145:27:44|20239|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|47
145:27:46|20240|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|48
145:27:48|20241|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|49
145:27:50|20242|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|50
145:27:52|20243|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|51
145:27:54|20244|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|52
145:27:56|20245|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, CDR|Jack Schmitt|53
145:27:58|20246|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, CDR|Jack Schmitt|54
145:28:00|20247|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, CDR, LRV|Jack Schmitt|55
145:28:02|20248|133|J|3401|||||||60|27|EVA 2|Station 4 / pan frame - Cernan replacing the dustbrush in its holder|Jack Schmitt|56
145:28:04|20249|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, LRV|Jack Schmitt|57
145:28:06|20250|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, CDR, LRV|Jack Schmitt|58
145:28:08|20251|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, LRV|Jack Schmitt|59
145:28:10|20252|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, LRV|Jack Schmitt|60
145:28:12|20253|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|61
145:28:14|20254|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|62
145:28:16|20255|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|63
145:28:18|20256|133|J|3401|||||||60|27|EVA 2|STA 4, PAN|Jack Schmitt|64
145:28:20|20257|133|J|3401|||||||60|27|EVA 2|STA4,PAN, OVEREXPOSED|Jack Schmitt|65
145:28:22|20258|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED|Jack Schmitt|66
145:28:24|20259|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED|Jack Schmitt|67
145:28:26|20260|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED|Jack Schmitt|68
145:28:28|20261|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED|Jack Schmitt|69
145:28:30|20262|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED|Jack Schmitt|70
145:28:32|20263|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED|Jack Schmitt|71
145:28:34|20264|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED|Jack Schmitt|72
145:28:36|20265|133|J|3401|||||||60|27|EVA 2|STA 4, PAN, OVEREXPOSED|Jack Schmitt|73
