||Tape 64/3|
03 22 13 00||BEGIN LUNAR REV 5|
03 22 43 33|LMP|Houston, IT.|
|CC|17, Houston. Go ahead.|
|LMP|Roger. We're just about ready to finish up here. I have a couple of questions. Do you want us to cycle cryo fans or just leave them alone now?|
|CC|We'd like them just left alone, left in you configuration you are now, Jack.|
|LMP|Okay, there will be no cycling then.|
|CC|Roger. We have one question. Who's got the duty tonight or will he be wearing a headset?|
|LMP|Yes, he - Ron has the duty. He will be wearing the headset, but I will be on the biomed underneath.|
|CC|Understand that. And one note for Gene. It's an addition to that Flight Surgeon's note. When you rehydrate your food, make sure that you go the -let it rehydrate for the maximum amount of time. I know you miss it on this one, but the next -like tomorrow morning, make sure it rehydrates the maximum amount of time.|
|LMP|Okay, I'll tell him.|
|CC|Roger.|
|LMP|And we got the star crater stereo trio.|
|CC|Roger.|
03 22 45 09|LMP|And the - we're - mag - Oscar Oscar is on 93 now. The last three pictures were that trio.|
03 22 48 25|LMP|Bob, we're ... complete on the presleep checklist. And except for computing communications configuration and Ron will take care of that.|
|||
Tape 64/4|||
|CC|Roger.|
|LMP|And, Bob, while we're gradually getting in configuration here, let me reiterate something that I've been watching this rev as we did a lot of other things. And that was this relationship of the light-colored or light gray swirl patterns on the surface to patterns - associated pattern -parallel patterns that are darker than the average of the surrounding area. And this is true both in Mare Marginis and in most cases on the back side.|
|CC|Roger, Jack. We'll get that to the PI.|
|LMP|Roughly, although they're very irregular patterns -roughly it's concentric zoning of dark to light within a intermediate albedo surface. Now there are variations on that theme; sometimes you don't get the symmetry quite as good, but it's common enough that I think it's worth noting.|
|CC|Roger.|
|LMP|Also, there's a sequence of different kinds of crater filling on the far side, and I think that, as the orbital stay progresses, we may be able to pin down the relative age relationships and the characteristics of those crater fill - filling episodes. Whether they are single episodes that happen in a variety of crater or they're a function of the age and characteristics of the craters in which you find them is not clear right now, but the - they seem to form fairly distinct groupings of crater-fill material.|
|CC|Roger. Jack.|
03 22 52 07|LMP|One of those crater-fill materials that you also see in other kinds of depressions other than craters is a very smooth, light, plains-forming material. And it is, although cratered, when you see it at the terminator, it is smoother than the mare; that is, it does not seem to have the swell, the sea swell characteristics or ridges or any other features other than the crater's superimposed on it.|
|||
||Tape 64/5|
|CC|Roger. We copy.|
03 22 55 19|CC|17s Houston. You can go ahead and close the UV cover. We'd like to hold off 1 minute before you turn the UV off. We want to look at 1 minute of data with the cover closed.|
|LMP|Oh, okay. Roger. A walkon. I see it now.|
03 22 56 08|LMP|Okay, it's CLOSED.|
|CC|Okay s we'11 give you a cue when you go UV, OFF, and IKCO would like to know what you've got on your high gain pitch and yaw knobs. Not the dials but the knobs.|
|LMP|All right. The knobs are - let's see, about plus 20 and 185.|
|CC|Okay, PITCH of 20 and 185 on the YAW.|
|LMP|That's affirm.|
03 22 58 22|CC|And, Jack, you can turn the UV off now.|
03 22 58 38|LMP|Okay, it's OFF.|
03 23 01 53|LMP|Okay, I got the landing site. We're right over the top of it, and the scarp is fantastically detailed at this - Can you see in there, Gene? Right down, right down, straight down there.|
|CDR|No, I can't.|
|LMP|Okay, well, the sli - the light mantle is ob -very obviously mantling the area. The scarp was very detailed, and, so far, could not see any structure in the massifs at all, but I haven't had any - didn't have much time to watch it on that pass.|
|LMP|The slide very definitely subdued the general detail in the plains area - or the light mantle, if you will, rather than slide. MOCR Crater was finally out of the dark.|
|||
Tape 64/6|||
|CC|Roger.|
|CC|Jack, we'd like to know if you think you can adjust the high gain as close to plus 15 and YAW 190 as possible?|
