|||APOLLO 17 MISSION COMMENTARY 12/6/72 CST 19:30 GET -01:22 1/1
|-01:22:00|PAO|This Is Apollo Saturn launch control we're at T minus 1 hour 22 minutes and counting. Cabin purge has now been completed and the boost protective cover has been closed. The 65 percent nitrogen 35 percent oxygen mixture will now be enriched to a 60 40 mixture at liftoff. Just completed were some preflight command tests with the Manned Spacecraft Center in Houston. These tests are to insure that Houston can send commands, and that they are being received on or by the launch vehicle. Also just completed was a first motion signal. This is the first motion of the vehicle as it lifts off the pad. A test signal is sent to the eastern test range and to the Manned Spacecraft Center in Houston to assure that they will get this signal at liftoff. Also, we just received a final go for a Jimsphere release. The Jim-sphere is a weather balloon which is the final weather balloon to go up before launch indicating the wind direction. C-band beacons are in check at this time. The C-band beacons aboard the launch vehicle are used in tracking. They give indications of range velocity during the power phase of flight. Que ball sim command was just sent. The que ball is an angle of a tacmeter which is purched above the launch escape system, an d it's re ad by th e spacecraft cojnman de r in the spacecraft. It would indicate any deviation from the plan flight through. It reads zero as it sits on the pad and during the test a simulated command is sent to it, and Gene Cernan in the spacecraft reads off what he is reading in the spacecraft during y'-that sim command. The checks in the spacecraft continue to run somewhat ahead of schedule. The spacecraft test conductor Skip Shovin indicated their running ahead and looking good to which Cernan reply we're looking good up here too. The countdown continuing to move along well at this time T minus 1 hour 21 minutes and counting. This is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/06/72 CST 19:40 GET -01:12  MC 2/1
|-01:12:00|PAO|This is Apollo Saturn Launch Control 13 minus 1 hour 12 minutes and counting. At this time Spacecraft Commander Gene Cernan and the Spacecraft test conductor Skip Chauvin are going over some command checks. During these checks the Spacecraft Commander actually gimbles or moves, swings the main engine in the Service Module. He does this using his flight hand controller and this is a system which is done so that if there is a problem with the computer which normally flies these, he can take over and manually fly it. Normally, however, all burns of this engine are done by the computer. Out at the pad, the space vehicle is surrounded by searchlights producing some 225 foot candles of light, a total of 72 20 kilowatt zeon lights and 2 60 kilowatt zeon searchligh banks provide this illumination. At liftoff, approximately 7500 foot candles will be produced from the flame of the Saturn V first stage engines. This is almost equivalent to daylight. Searchlight will also illuminate the Apollo 17 for the first 60 feet of it's flight. Countdown continuing to go smoothly now as we approach the 1 hour mark. T minus 1 hour 11 minutes and counting. This is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 GET -01:00 CST 19:52 MC 3/1
|-01:00:00|PAO|This is Apollo Saturn Launch Control. We're at T minus 1 hour and counting. T minus 1 hour and counting. Just completed were the C—band beacon checks. These are checks of the beacons, two of them aboard the instrument unit of the space vehicle. These are used in conjunction with C-band radar here at Kennedy Space Center to check the space vehicle during powered phase of flight. A check was just made with the superintendent of range operations who ran through the camera coverage looking at the weather around the various areas to see what camera coverage, and that appears to be satisfactory. Meanwhile, at the pad, the closeout crew has completed securing the white room area, and they are clearing the pad area themselves at this time. Just before they left, they indicated to Cernan that they were completed their jobs going back away from the pad area. Cernan said "We'll see you when we get back." The pad leader responded that "The next face you see had better be a frogman or you're in trouble." The weather appears to be satisfactory. We've been tracking some local buildups, but at this time they're just -they do not seem to be posing any problem for an on-time launch at 9:53 p.m. EST. Now, T minus 59 minutes, 32 seconds and counting. This is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 GET -0:55 CST 19:57 MC 4/1
|-00:55:00|PAO|This is Apollo Saturn Launch Control. We are at T-55 minutes 54 seconds and counting. Stoney, astronaut Bob Parker, the capsule communicator here in the firing room who has a variety of of functions during this mission; one of which is to set the elevators at the 320 foot level. He actually commands the elevators which are part of the egress system, emergency egress system, for the astronauts. He has just reported that the elevators have now been set at the 320 foot level. In an emergency the crew could come out of their spacecraft into these elevators where they would be lowered at a high speed, 600 feet per minute, to the ground floor or A level floor where they can exit from there into a variety of escape modes; one of which would be down a chute into a blast danger area or a safety area, or they could continue on out and be picked up by armored carriers. Underway at this time with the launch vehicle are some checks of the secure range safety systems aboard the vehicle. These are actually checks of the receivers in that system. A range Safety Officer could terminate the flight of Apollo 17 if it became irratic by initiating emergency cut off, or if necessary a propellant dispersion command. These systems are located on each of the flight stages. There are three stages of the Saturn V. Two receivers in each stage, and they would receive a signal from the range safety officers and then sending through them to through these receivers, they could perform the propellant dispersion. These actions, of course, will be taken only if the vehicle were so irratic that it were endangering some land areas, and of course, only after the crew had used one of the escape options open to them. The test going well at this time. Our countdown continuing T-54 minutes 6 seconds and counting. This is Kennedy Launch Con t rol.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 CST 20:02 GET -00:50 MC 5/1
|-00:50:00|PAO|This is Apollo Saturn Launch Control at T minus 50 minutes 55 seconds and counting. Preparations are underway in the launch control center at this time for a critical power transfer test. The space vehicle at this time is being fed from an external power source, but shortly before liftoff it will be transfered to the internal flight batteries. This test is to ensure that all electrical systems aboard the vehicle function properly on the internal flight batteries. The test takes about five minutes during which time the various elements of the launch team monitor thier systems and report in then to the test supervisor, Bill Schick here in the control room that everything looks good during the test. Depending on local weather conditions the various areas around the United States, the flight of Apollo 17 will be monitored or be able to be seen by people as far as 500 miles away. This is the flight as seen of the first stage of powered flight. This would include a large portion the southeastern United States, northern tip of Cuba and the Bahama Islands. The power transfer test is now underway; first stage, second stage, third stage, instrument unit now all going to internal power. Count down continuing to go well T—minus 49 minutes 35 seconds and counting. This is Kennedy Test Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 GET -00:45 CST 20:06 MC6/1
|-00:45:00|PAO|This Apollo Saturn Launch Control, we're now T minus 45 minutes 55 seconds and counting. Various elements of launch team reporting in to test supervisor Bill Schick, that they experienced no problems during the power transfer. We now transfer back again to an external power source, which will feed the vehicle systems until approximately 50 seconds before liftoff, at which time the final power transfer to Internal takes place. At the T minus 45 minute mark, we'll be watching for swing arm number 9. That's the swing arm which gives access to the Spacecraft to swing back to a retract position, 12 degrees back from the Spacecraft. This is a park position, a standby position, where it remain down until the final moments of the countdown. T minus 5 minutes, it swings back to the full retract position. Once it swing backs, the launch escape system aboard the a-, atop of the Spacecraft can be armed and this system could be used to pull the Astronaut crew to safety in any disaster. Now T minus 44 minutes 52 seconds and counting, this is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 GET -00:41 CST 20:11 MC7/1
|-00:41:00|PAO|This is Apollo Saturn - This is Apollo Saturn Launch Control. We're at T minus 40 minutes, 51 seconds and counting. Swing arm number 9 just retracted a few minutes ago, and, as it retracted, the astronaut crew aboard the space field could feel it moving away from the spacecraft. Eugene Cernan the spacecraft commander commented, "We're really hanging out here in the breeze now." Spacecraft test conductor, referring to the weather indicated that that was just a small breeze. The launch escape system has been armed. The system now could be used to carry the astronauts to safety if necessary. It's also used during the initial phases of powered flight to carry the astronauts away in an emergency. It would fly away in a high arc pulling them to a height, enough so that their parachute systems could deploy, and they could make a normal landing. The system is about 33 feet long. The motor develops 147 thousand pounds of thrust. This is almost twice the amount of thrust of the Redstone rocket, which powered astronaut Alan Sheppard, America's first man into space. The countdown continuing to move along smoothly now. T minus 39 minutes, 36 seconds and counting. This is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 CST 20:18 GET -00:25 MC8/1
|-00:25:00|PAO|This is Apollo Saturn Launch Control, We're at T-minus 35 minutes 11 seconds and counting. Spacecraft commander Gene Cernan has reported back to the spacecraft test conductor Skip Chauvin. He said you've delivered us the best now it's our turn. Thank the guys we want to see them as soon as we can when we get back and I guarantee you we'll do that. Meanwhile C-band beacon checks are going on with the space vehicle. The liquid hydrogen liquid oxygen fully aboard and being replenished at this time to ensure a full load at liftoff. Count down continuing to go smoothly as we approach the half hour mark T-minus 34 minutes 34 seconds and counting. This is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 GET -00:30 CST 20:22 MC9/1
|-00:30:00|PAO|This is Apollo Saturn Launch Control T minus 30 minutes 54 seconds and counting. Manned Spacecraft just indicated to the test supervisor Bill Schick that we are go for the terminal countdown sequences. Final propulsion checks have been completed and the C-band readouts, once again repeated have been completed. Beach boss reports the launch sight recovery force helicopters are on station and ready. Digital range safety command checks are now underway as the countdown continues smoothly aiming for the T minus 30 minute mark. Now at T minus 30 minutes 24 seconds and counting, this is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 GET -00:25 CST 20:27 MC10/1
|-00:25:00|PAO|This is Apollo Saturn Launch Control. T-25 minutes 54 seconds and counting. Command Module Pilot Ron Evans at this time has armed the reaction control system aboard the service module. He does this by allowing the hypergolic fuels to move down the lines to the engines. At this time he is reading out the temperatures, pressures and fuel quantities in that system. Our weather continues to look good. The major frontal area which had been of some concern earlier, has remained well west of the launch area also some smaller buildups which we have been monitoring do not appear to be coming close enough to cause any concern for our 9:53 PM launch time. That launch will be aiming Apollo 17 for the Taurus-Littrow area of the Moon. This area is named after the Taurus Mountains. These in southern Turkey and the Austrian astronomer, Littrow. The site is expected to yield some of the oldest and some of the youngest lunar samples returned during the Apollo flights to the Moon. Now T-24 minutes 50 seconds and counting. This is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 CST 20:32 GET -00:20 MC11/1
|-00:20:00|PAO|This is Apollo Saturn Launch Control T-minus 20 minutes 55 seconds and counting. Short time from now we we'll begin chilling the propulsion systems aboard the second and third stage of the Saturn V vehicle. This necessary to condition them for the flow of the super cool liquid oxygen and liquid hydrogen. Just a few moments ago the crew aboard spacecraft America was doing an updated weather forecast. Cernan reported I hope it's as beautiful out there as it is in here. Countdown continuing to move smoothly at T-minus 20 minutes 24 seconds and counting. This is Kennedy Launch Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 GET -00:15 CST 20:37 MC12/1
|-00:15:00|PAO|This is Apollo Saturn Launch Control, T minus 15 minutes 52 seconds and counting. The Vice-President of the United States, Spiro Agnew has entered the launch control center now. He'll observe the final portions of the countdown from here and also the launch. Arming and checking of the Service Module reaction control system has now been completed and in progress is the chill down of the S-II, or second stage start tank. Checkouts continuing to go well, some running a little bit ahead of schedule, all on time. T minus 15 minutes 20 seconds and counting, this is Kennedy Test Control.
|||APOLLO 17 MISSION COMMENTARY 12/6/72 CST 20:41 GET -00:10 13/1
