|1980|Candidate samples for the earliest lunar crust|Jovanovic, S. and Reed, G. W.|Geochimica et Cosmochimica Acta|Suppl. 12 ||101-111 ||nan
|1979|Ilmenite in the crystallization sequence of lunar rocks|von Engelhardt, W.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||677-694 ||nan
|1978|Early lunar differentiation constraints from U-Th-Pb, Sm-Nd and Rb-Sr model ages (abs)|Oberli, F., McCulloch, M. T., Tera, F., Papanastassiou, D. A., and Wasserburg, G. J.|Proceedings of the 9th Lunar and Planetary Science Conference|nan||832-834 ||nan
|1977|Lunar basins and craters: Evidence for systematic compositional changes of bombarding population|Hertogen, J., Janssens, M.-J., Takahashi, H., Palme, H., and Anders, E.|Proceedings of the 8th Lunar Science Conference|nan||17-45 ||nan
|1976|Cosmic ray exposure ages of Apollo 17 samples and the age of Tycho|Arvidson, R., Drozd, R. J., Guiness, E., Hohenberg, C., Morgan, C., Morrison, R., and Oberbeck, V.|Proceedings of the 7th Lunar Science Conference|nan||2817-2832 ||nan
|1976|Carbides in lunar soils and rocks|Goldstein, J. I., Hewins, R. H., and Romig, A. D.|Proceedings of the 7th Lunar Science Conference|nan||807-818 ||nan
|1976|Ferromagnetic resonance studies of lunar core stratigraphy|Housley, R. M., Cirlin, E. H., Goldberg, I. B., and Crowe, H.|Proceedings of the 7th Lunar Science Conference|nan||13-26 ||nan
|1976|Lunar breccia 73215: siderophile and volatile elements|Morgan, J. W., Gros, J., Takahashi, H., and Hertogen, J.|Proceedings of the 7th Lunar Science Conference|nan||2189-2199 ||nan
|1975|Cosmic ray exposure ages of features and events at the Apollo landing sites|Arvidson, R., Crozaz, G., Drozd, R. J., Hohenberg, C. M., and Morgan, C. J.|The Moon|13 (1)||259-276||http://dx.doi.org/10.1007/bf00567518
|1975|Superparamagnetic clusters of Fe2+ spins in lunar olivine: Dissolution by high temperature annealing|Huffman, G. P. and Dunmyre, G. R.|Proceedings of the 6th Lunar Science Conference|nan||757-772 ||nan
|1975|Some correlation of rock exposure ages and regolith dynamics|Hörz, F., Gibbons, R. V., Gault, D. E., Hartung, J. B., and Brownlee, D. E.|Proceedings of the 6th Lunar Science Conference|nan||3495-3508 ||nan
|1975|History of Boulder 1 at Station 2, Apollo 17 based on trace element interrelationships|Jovanovic, S. and Reed, G. W.|Nature Geoscience|14||385-393 ||nan
|1975|Basic magnetic properties of Apollo 17 basaltic and anorthositic lunar materials (abs)|Nagata, T., Fisher, R. M., Schwerer, F. C., Fuller, M. D., and Dunn, J. R.|Proceedings of the 6th Lunar Science Conference|nan||584-586 ||nan
|1975|Effects of meteorite impact on magnetic properties of Apollo lunar materials|Nagata, T., Fisher, R. M., Schwerer, F. C., Fuller, M. D., and Dunn, J. R.|Proceedings of the 6th Lunar Science Conference|nan||3111-3122 ||nan
|1975|The history of lunar bombardment inferred from 40Ar-39Ar dating of highland rocks|Turner, G. and Cadogan, P. H.|Proceedings of the 6th Lunar Science Conference|nan||1509-1538 ||nan
|1975|A compilation of the Lunar Sample Data Generated by the Gast, Nyquist and Hubbard Lunar Sample PI-Ships|Wiesmann, H. and Hubbard, N. J.|nan|nan||nan||nan
|1974|Lunar surface dynamics: Some general conclusions and new results from Apollo 16 and 17|Crozaz, G., Drozd, R. J., Hohenberg, C., Morgan, C., Ralston, C., Walker, R., and Yuhas, D.|Proceedings of the 5th Lunar Science Conference|nan||2475-2499 ||nan
|1974|Primordial radioelement concentrations in rocks and soils from Taurus-Littrow|Eldridge, J. S., O'Kelley, G. D., and Northcutt, K. J.|Proceedings of the 5th Lunar Science Conference|nan||1025-1033 ||nan
|1974|Sulfur abundances and distributions in the valley of Taurus-Littrow|Gibson, E. K. and Moore, G. W.|Proceedings of the 5th Lunar Science Conference|nan||1823-1837 ||nan
|1974|Sulfur abundances in the valley of Taurus-Littrow|Gibson, E. K. and Moore, G. W.|Proceedings of the 5th Lunar Science Conference|nan||1823-1837 ||nan
|1974|Total sulfur abundances and distributions in the valley of Taurus- Littrow: Evidence of mixing (abs)|Gibson, E. K. and Moore, G. W.|Proceedings of the 5th Lunar Science Conference|nan||267-269 ||nan
|1974|Cosmic ray irradiation pattern at the Apollo 17 site: implications to lunar regolith dynamics|Goswami, J. N. and Lal, D.|Proceedings of the 5th Lunar Science Conference|nan||2643-2662 ||nan
|1974|Electron petrographic study of some Apollo 17 breccias|Heuer, A. H., Christie, J. M., Lally, J. S., and Nord, G. L.|Proceedings of the 5th Lunar Science Conference|nan||275-286 ||nan
|1974|Iron distributions and metallic-ferrous ratios for Apollo lunar samples: Mossbauer and magnetic analyses|Huffman, G. P., Schwerer, F. C., Fisher, R. M., and Nagata, T.|Proceedings of the 5th Lunar Science Conference|nan||2779-2794 ||nan
|1974|Labile and nonlabile element relationships among Apollo 17 samples|Jovanovic, S. and Reed, G. W.|Proceedings of the 5th Lunar Science Conference|nan||1685-1701 ||nan
|1974|Labile trace elements in Apollo 17 samples (abs)|Jovanovic, S. and Reed, G. W.|Proceedings of the 5th Lunar Science Conference|nan||391-393 ||nan
|1974|Lunar basins: Tentative characterization of projectiles, from meteoritic dements in Apollo 17 boulders|Morgan, J. W., Ganapathy, R., Higuchi, H., Krahenbuhl, U., and Anders, E.|Proceedings of the 5th Lunar Science Conference|nan||1703-1736 ||nan
|1974|Magnetic properties of Apollo 11-17 lunar materials with special reference to effects of meteorite impact|Nagata, T., Sugiura, N., Fisher, R. M., Schwerer, F. C., Fuller, M. D., and Dunn, J. R.|Proceedings of the 5th Lunar Science Conference|nan||2827-2839 ||nan
|1974|Taurus-Littrow chronology: some constraints on early lunar crustal development|Nyquist, L. E., Bansal, B. M., Wiesmann, H., and Jahn, B.-M.|Proceedings of the 5th Lunar Science Conference|nan||1515-1539 ||nan
|1974|Cosmogenic radionuclides in samples from Taurus-Littrow: Effects of the solar flare of August 1972|O'Kelley, G. D., Eldridge, J. S., and Northcutt, K. J.|Proceedings of the 5th Lunar Science Conference|nan||2139-2147 ||nan
|1974|Electron petrographic evidence concerning the origin and lithification of the lunar breccias (abs)|Radcliffe, S. V., Christie, J. M., Nord, G. L., Lally, J. S., Heuer, A. H., Griggs, D. T., and Fisher, R. M.|Proceedings of the 5th Lunar Science Conference|nan||613-615 ||nan
|1974|The relationships between geology and soil chemistry at the Apollo 17 landing site|Rhodes, J. M., Rodgers, K. V., Shih, C.-Y., Bansal, B. M., Nyquist, L. E., Wiesmann, H., and Hubbard, N. J.|Proceedings of the 5th Lunar Science Conference|2||1097-1117 ||nan
|1974|Petrography and classification of Apollo 17 non-mare rocks with emphasis on samples from the Station 6 boulder|Simonds, C. H., Phinney, W. C., and Warner, J. L.|Proceedings of the 5th Lunar Science Conference|nan||337-353 ||nan
|1974|Isotopic evidence for a terminal lunar cataclysm|Tera, F., Papanastassiou, D. A., and Wasserburg, G. J.|Earth and Planetary Science Letters|22||1-21 ||nan
|1974|22Na-26Al chronology of lunar surface processes|Yokoyama, Y., Reyss, J. L., and Guichard, F.|Proceedings of the 5th Lunar Science Conference|nan||2231-2247 ||nan
