Bibcode|Year|Title|Authors|Publication|Volume|Issue|Page|Abstract|DOI|Samples
2022Icar..38815216G|2022|New interpretations of lunar mare basalt flow emplacement from XCT analysis of Apollo samples|Gawronska, Aleksandra J., McLeod, Claire L., Blumenfeld, Erika H., Hanna, Romy D., Zeigler, Ryan A.|Icarus|388||115216||http://dx.doi.org/10.1016/j.icarus.2022.115216|70017|
2022EPSC...16.1189Z|2022|X-Ray Computed Tomography of Apollo Drive Tube 73001 as Part of the Apollo Next Generation Sample Analysis Program|Zeigler, Ryan, Eckley, Scott, Edey, Dave, Ketcham, Richard, Hanna, Romy, Gross, Juliane, McCubbin, Francis, Shearer, Charles, Angsa Science Team|European Planetary Science Congress|||EPSC2022-1189||http://dx.doi.org/10.5194/epsc2022-1189|73001; 73002|
2022EPSC...16..747S|2022|Using an analog lunar sample return mission to grow a lunar sample community and prepare for human return to the Moon's surface. An update on the progress of the ANGSA initiative.|Shearer, Charles, Zeigler, Ryan|European Planetary Science Congress|||EPSC2022-747||http://dx.doi.org/10.5194/epsc2022-747|73001; 73002|
2022EPSC...16.1117M|2022|A unique lunar gas extraction event as part of the ANGSA Program and the lessons learned for a new generation of sample return missions|McDonald, Francesca, Schild, Timon, Bamsey, Nathan, Apolloni, Matteo, Biella, Riccardo, Butenko, Yuriy, Dowson, Alan, Eckley, Scott, Gross, Juliane, Jolliff, Brad, Lindner, Robert, Makaya, Advenit, McCubbin, Francis, Meshik, Alex, Parai, Rita, Pravdivtseva, Olga, Sharp, Zach, Shearer, Charles, Zeigler, Ryan, Angsa Science Team|European Planetary Science Congress|||EPSC2022-1117||http://dx.doi.org/10.5194/epsc2022-1117|73001; 73002|
2022LPICo2678.2890Z|2022|Using X-Ray Computed Tomography to Catalog Rock Fragments in Apollo Drive Tube 73002|Zeigler, R. A., Gross, J., Eckley, S. A., McCubbin, F. M., Angsa Science Team|53rd Lunar and Planetary Science Conference|2678||2890|||73002|
2022LPICo2678.2389W|2022|Cosmogenic Radionuclides in Lunar Core 73002: Cosmic-Ray Exposure History and Regolith Mixing of the Lunar Surface|Welten, K. C., Caffee, M. W., Nishiizumi, K., Angsa Science Team|53rd Lunar and Planetary Science Conference|2678||2389|||73002|
2022LPICo2678.2869V|2022|An ANGSA Study of Ilmenite Crystal Size Distributions of Basalt Clasts in Drive Tube 73002|Valeniciano, J. L., Neal, C. R., Shearer, C. K.|53rd Lunar and Planetary Science Conference|2678||2869|||73002|
2022LPICo2678.2935D|2022|Stratigraphic Variation in Grain Surface Chemistry Within Apollo Core Sample 73002 Using X-Ray Photoelectron Spectroscopy|Dukes, C. A., Stelmach, K. B., Woodson, A. K., Ziamanesh, L., Oraegbu, J., Morris, R. V., Keller, L. P., Christoffersen, R., Shearer, C. K., Angsa Science Team|53rd Lunar and Planetary Science Conference|2678||2935|||73002|
2022LPICo2678.2818V|2022|Major and Trace Element Analysis of Apollo 17 Drive Tube 73002: First Dissection|Valenciano, J. L., Neal, C. R., Neuman, M. D., Wang, K., Jolliff, B. L., Shearer, C. K., Angsa Science Team|53rd Lunar and Planetary Science Conference|2678||2818|||73002|
2022LPICo2678.1890S|2022|Multispectral Imaging of Apollo 17 Core Sample 73002|Sun, L., Lucey, P., Flom, A., Ferrari-Wong, C., Zeigler, R. A., Gross, J., Petro, N., Shearer, C. K., McCubbin, F. M., Angsa Science Team|53rd Lunar and Planetary Science Conference|2678||1890|||73002|
