-02:37:22|1|Preparation and Countdown|
-01:15:01|2|Countdown Cutoff|
-00:07:59|2|Countdown Resumes|
-00:01:00|2|One Minute to Launch|
000:00:00|1|Lift-off|
000:02:34|2|S-II Staging|
000:09:20|2|S-IVB Staging|
000:11:54|1|Earth orbit insertion|
000:53:56|2|STDN REV 1|
001:17:25|2|GOLDSTONE REV 2|
002:25:10|2|AUSTRALIA REV 2|
002:49:00|2|HAWAII REV 2|
002:53:12|2|GO For Trans-Lunar Injection (TLI)|
003:12:29|1|Trans-Lunar Injection maneuver|
003:42:28|2|S-IVB/Command and Service Module separation|
003:45:00|2|Video: Trans-Lunar docking initiated|
003:56:52|2|Trans-Lunar docking capture|
004:45:06|2|Spacecraft ejection|
004:49:53|3|Video: S-IVB visible|
005:49:50|2|Photographing Earth - "fragile-appearing piece of blue"|
009:00:01|1|Crew Sleep Period Start|
015:02:45|1|Crew wake-up|
024:51:32|2|Jack Schmitt philosophical about observing the earth|
025:26:26|1|Crew Sleep Period Start|
033:00:38|1|Crew wake-up|
034:10:07|2|Video: crew onboard film|
035:30:00|1|First mid-course correction|
037:00:40|2|Crew listening to music|
042:57:34|2|Video: Start of onboard heat flow and convection experiment|
045:30:18|2|Video: Continuation of onboard heat flow and convection experiment|
048:14:48|2|Video: Earth and moon|
048:36:12|1|Crew Sleep Period Start|
056:35:40|1|Crew wake-up with music (Difficulty waking up)|
059:57:53|2|Entering the LM 2nd time|
062:57:33|2|Description of clock change maneuver|
065:00:00|2|Mission control center time update (+2:40:00)|Clocks adjusted due to delayed launch
068:07:51|2|ALFMED flash observations experiment begins|
069:25:48|2|Schmitt asks a difficult flight dynamics question|
073:47:15|1|Crew Sleep Period Start|
081:30:28|1|Crew wake-up|
084:10:12|2|Video: Film of lunar approach|
084:12:45|2|Scientific instrument module door jettison|
086:46:30|2|Crew can see the moon for the first time|
087:47:06|2|Jack Schmitt "speechless"|
089:40:03|2|S-IVB lunar impact|
090:18:11|2|"Flash" observed on the lunar surface|
093:35:00|1|Descent orbit insertion reported|
106:09:09|2|Video: Earth and moon through telescope|
110:27:56|1|Video: Lunar Module undocking and separation|(Far side, no audio)
110:57:34|1|Video: Command Module from LM|
112:38:07|2|Video: Command Module from LM flying over terrain|
112:49:49|1|Video: Powered Descent Initiation|
112:52:08|2|Begin Lunar landing|
112:57:48|3|Video: Landing camera on|
113:02:13|2|Landed at Taurus-Littrow|
113:43:51|2|Post-landing Activities|
115:17:12|1|EVA-1 Start|
117:01:38|2|EVA-1 Watches started|
117:10:42|2|Down the Ladder|
117:11:35|3|Video: 16mm Film|
117:14:50|3|"Don't lock the hatch"|
117:18:57|3|Jack Schmitt challenges the next generation|
117:24:50|2|Rover Deployment|
117:31:09|3|Lunar roving vehicle offloaded|
117:44:16|3|Lunar roving vehicle deployed|Test drive performed and documented with photography, gathered samples and performed 500-mm and panoramic photography.
118:14:02|2|Video: First television from lunar surface|
118:21:57|2|United States flag deployed|Flag documented with photographs and stereo photography.
118:34:43|2|Cosmic ray experiment deployed|
120:46:06|2|ALSEP deployed|Documented with photographs and panoramic photography.
120:59:30|2|Deep core sample|Lunar neutron probe experiment deployed.
121:01:07|3|Schmitt falls while retreiving the deep core sample|
121:35:42|3|Singing - "strolling on the moon one day"|
121:51:02|2|Departed for Station 1|
122:06:15|2|Video: Arrived at Station 1|Deployed seismic profiling experiment explosive charge 6, obtained traverse gravimeter experiment reading, and documented rake samples and performed panoramic photography.
122:36:47|2|Departed for Surface Electrical Properties (SEP) experiment site|Included stop to deploy-seismic profiling experiment explosive charge 7, and perform panoramic photography.
122:54:56|2|Video: Arrived at SEP experiment site|Deployed antennas and the transmitter, gathered samples, and performed documentary and panoramic photography.
123:13:39|2|Departed for the Lunar Module|
123:18:03|2|Video: Arrived back at Lunar Module|Started extravehicular activities closeout.
124:13:45|3|Lunar Module cabin repressurized|
124:14:04|2|Post-EVA-1 Activities|
126:25:37|3|Geology debrief on EVA-1|
127:48:33|2|Lunar dust hay fever|
128:54:10|1|Surface Crew sleep period|
136:26:58|2|Communications with Ron Evans in lunar orbit|
136:55:03|1|Surface Crew wake-up (music)|
138:28:37|1|EVA-2 Start|
140:34:20|2|EVA-2 Watches started|
140:45:41|2|Video: EVA-2|
141:19:00|3|Lunar roving vehicle loaded for traverse|
141:21:55|2|Departed for Surface Electrical Properties experiment site|
141:27:05|2|Arrived at Surface Electrical Properties experiment site|Activated experiment, gathered samples, and performed panoramic photography.
141:31:48|2|Departed for Station 2 (South Massif)|Four short stops; one to deploy seismic profiling experiment explosive charge 4, and three to gather enroute samples.
142:45:50|2|Video: Arrived at Station 2|Gathered samples including a rake sample, and performed documentary and panoramic photography.
142:50:48|3|Cernan dusts lens at Station 2 "can I change your oil?"|
142:59:45|3|Cernan "busting my butt"|
143:19:40|3|Camera on "mother earth" - "isn't that pretty"|
143:22:30|3|"You know, I look out there, I'm not sure I really believe it all."|
143:26:13|3|"Maybe time's different in space. Adventures in space and time."|
143:40:44|3|"One-scoop-Schmitt, they call me."|
143:47:26|2|Departed for Station 3|One stop to obtain a traverse gravimeter experiment reading, gather samples, and perform panoramic and 500mm photography.
144:16:33|3|Capcom expresses how smoothly the mission is going|
144:30:35|2|Video: Arrived at Station 3|Gathered samples including a double core-tube sample and a rake sample, and performed panoramic and 500-mm photography.
144:50:52|3|"Help twinkle toes"|
144:56:26|3|"Houston Ballet Foundation requesting your services for next season"|
145:04:47|2|Departed for Station 4 (Shorty Crater)|Two short stops to gather enroute samples.
145:23:48|2|Video: Arrived at Station 4|Gathered samples including a trench sample and a double core-tube sample, and performed documentary and panoramic photography.
145:26:29|3|Orange soil discovered|
145:28:59|3|Camera gets a cleaning|
145:54:47|2|Departed for Station 5 (Camelot Crater)|One stop to deploy seismic profiling experiment explosive charge 1, gather samples, and perform panoramic photography.
146:25:50|2|Video: Arrived at Station 5|Gathered samples, and performed documentary and panoramic photography.
146:50:38|3|Cernan hopping along and singing|
