Bibcode|Year|Title|Authors|Publication|Volume|Issue|Page|Abstract|DOI|Samples
2017Icar..298....2S|2017|Revisiting the field geology of Taurus-Littrow|Schmitt, H. H., Petro, N. E., Wells, R. A., Robinson, M. S., Weiss, B. P., Mercer, C. M.|Icarus|298||2||http://dx.doi.org/10.1016/j.icarus.2016.11.042|70019|
2017M&PS...52..584T|2017|Impact history of the Apollo 17 landing site revealed by U-Pb SIMS ages|Thiessen, Fiona, Nemchin, Alexander A., Snape, Joshua F., Whitehouse, Martin J., Bellucci, Jeremy J.|Meteoritics and Planetary Science|52|4|584||http://dx.doi.org/10.1111/maps.12814|72255; 76015; 76055; 76215|
2017PhDT.......143M|2017|High Spatial Resolution 40Ar/39Ar Geochronology of Lunar Impact Melt Rocks|Mercer, Cameron Mark|Ph.D. Thesis||||||73217; 77115; 77135|
2017LPI....48.1668M|2017|Determination of Trace and Volatile Element Abundance Systematics of Lunar Pyroclastic Glasses 74220 and 15426 Using LA-ICP-MS|McIntosh, E. C., Porrachia, M., McCubbin, F. M., Day, J. M. D.|Lunar and Planetary Science Conference|48|1964|1668|||74220|
2017E&PSL.478..214N|2017|Volatile loss during homogenization of lunar melt inclusions|Ni, Peng, Zhang, Youxue, Guan, Yunbin|Earth and Planetary Science Letters|478||214||http://dx.doi.org/10.1016/j.epsl.2017.09.010|74220|
2017LPI....48.2993S|2017|40Ar-39Ar Dating of Lunar Impact Melts - Searching for Imbrium|Seifert, L. S., Kring, A. S., Swindle, T. D.|Lunar and Planetary Science Conference|48|1964|2993|||76055|
2017GeCoA.201..377B|2017|Chronologic implications for slow cooling of troctolite 76535 and temporal relationships between the Mg-suite and the ferroan anorthosite suite|Borg, Lars E., Connelly, James N., Cassata, William S., Gaffney, Amy M., Bizzarro, Martin|Geochimica et Cosmochimica Acta|201||377||http://dx.doi.org/10.1016/j.gca.2016.11.021|76535|
2017E&PSL.475...15K|2017|Tungsten isotopes and the origin of the Moon|Kruijer, Thomas S., Kleine, Thorsten|Earth and Planetary Science Letters|475||15||http://dx.doi.org/10.1016/j.epsl.2017.07.021|77215|
2017LPI....48.2648C|2017|Insights into Early Lunar Paleomagnetism from the Ancient Norite 78235|Cournede, C., Garrick-Bethell, I., Coe, R., Perrera, V., Weiss, B. P., Nelson, R.|Lunar and Planetary Science Conference|48|1964|2648|||78235|
2016GeCoA.172..357E|2016|The origin of amino acids in lunar regolith samples|Elsila, Jamie E., Callahan, Michael P., Dworkin, Jason P., Glavin, Daniel P., McLain, Hannah L., Noble, Sarah K., Gibson, Everett K.|Geochimica et Cosmochimica Acta|172||357||http://dx.doi.org/10.1016/j.gca.2015.10.008|70011|
2016M&PS...51.1555P|2016|Characterization of mesostasis regions in lunar basalts: Understanding late-stage melt evolution and its influence on apatite formation|Potts, Nicola J., TartèSe, Romain, Anand, Mahesh, Westrenen, Wim, Griffiths, Alexandra A., Barrett, Thomas J., Franchi, Ian A.|Meteoritics and Planetary Science|51|9|1555||http://dx.doi.org/10.1111/maps.12681|70035|
2016P&SS..126....1T|2016|Evaluations of lunar regolith simulants|Taylor, Lawrence A., Pieters, Carle M., Britt, Daniel|Planetary and Space Science|126||1||http://dx.doi.org/10.1016/j.pss.2016.04.005|70050|
2016LPI....47.1794C|2016|Mapping 72275,136: Spatial Relationships Within a Breccia Containing KREEP Basalts of Distinctive Compositions|Cronberger, K., Neal, C. R.|Lunar and Planetary Science Conference|47|1903|1794|||72275|
2016LPI....47.2339S|2016|Symplectites in Dunite 72415 and Troctolite 76535 Indicate Mantle Overturn Beneath Lunar Near-Side|Schmitt, H. H.|Lunar and Planetary Science Conference|47|1903|2339|||72415; 76535|
2016LPI....47.1257M|2016|Hydrous Glasses of Lunar Sample 75055: A Micro-Raman Spectroscopy Investigation|Mahmood, S. S., McKeeby, B., Lowe, M. E., Greenwood, J. P.|Lunar and Planetary Science Conference|47|1903|1257|||75055|
2016EP&S...68...11D|2016|<SUP>40</SUP>Ar/<SUP>39</SUP>Ar and cosmic ray exposure ages of plagioclase-rich lithic fragments from Apollo 17 regolith, 78461|Das, J. P., Baldwin, S. L., Delano, J. W.|Earth, Planets, and Space|68||11||http://dx.doi.org/10.1186/s40623-016-0381-9|78461|
2015E&PSL.423..114D|2015|Highly siderophile element depletion in the Moon|Day, James M. D., Walker, Richard J.|Earth and Planetary Science Letters|423||114||http://dx.doi.org/10.1016/j.epsl.2015.05.001|70135|
2015E&PSL.431..195F|2015|Indigenous nitrogen in the Moon: Constraints from coupled nitrogen-noble gas analyses of mare basalts|Füri, Evelyn, Barry, Peter H., Taylor, Lawrence A., Marty, Bernard|Earth and Planetary Science Letters|431||195||http://dx.doi.org/10.1016/j.epsl.2015.09.022|70255; 71557; 71576; 74255; 74275|
2015AGUFM.P33C2136M|2015|High Spatial Resolution <SUP>40</SUP>Ar/<SUP>39</SUP>Ar Geochronology of Impact Melt Breccias from Apollo 17 Boulders at Stations 2, 6, and 7|Mercer, C. M., Hodges, K. V., Jolliff, B. L., Van Soest, M. C., Wartho, J. A., Weirich, J. R.|AGU Fall Meeting Abstracts|||P33C|||72255; 76315; 77075; 77135|
2015LPI....46.1298C|2015|Apollo 17 KREEP: New Data on 72275 Basalts Using EPMA, ICPMS, and Quantitative Petrography|Cronberger, K., Neal, C. R.|Lunar and Planetary Science Conference|46|1832|1298|||72275|
2015Icar..255...24P|2015|Temperature programmed desorption studies of water interactions with Apollo lunar samples 12001 and 72501|Poston, Michael J., Grieves, Gregory A., Aleksandrov, Alexandr B., Hibbitts, Charles A., Dyar, M. Darby, Orlando, Thomas M.|Icarus|255||24||http://dx.doi.org/10.1016/j.icarus.2014.09.049|72501|
2015GeCoA.149....1V|2015|Density and compressibility of the molten lunar picritic glasses: Implications for the roles of Ti and Fe in the structures of silicate melts|Vander Kaaden, Kathleen E., Agee, Carl B., McCubbin, Francis M.|Geochimica et Cosmochimica Acta|149||1||http://dx.doi.org/10.1016/j.gca.2014.10.029|74220|
2015M&PS...50.1449S|2015|Exploring the Moon's surface for remnants of the lunar mantle 1. Dunite xenoliths in mare basalts. A crustal or mantle origin?|Shearer, Charles K., Burger, Paul V., Bell, Aaron S., Guan, Yunbin, Neal, Clive R.|Meteoritics and Planetary Science|50|8|1449||http://dx.doi.org/10.1111/maps.12480|74275|
2015LPI....46.2747C|2015|Electron-Probe Microanalysis of Fe Spherules in Lunar Agglutinate 76503,7020|Carpenter, P. K., Jolliff, B. L.|Lunar and Planetary Science Conference|46|1832|2747|||76503|
2015EGUGA..17.8498H|2015|Constraints on lunar dynamo mechanism for interpreting lunar-wide magnetic field|Hemant Singh, Kumar, Kuang, Weijia|EGU General Assembly Conference Abstracts|17||8498|||76535|
2015LPICo1884.6018M|2015|Spatially Resolved, Correlated Variations in Apparent 40Ar/39Ar Ages and Ca/K Ratios in Apollo 17 Impact Melt Breccia 77135|Mercer, C. M., Hodges, K. V., Jolliff, B. L., van Soest, M. C., Wartho, J. -A., Weirich, J. R.|The First 1 Ga of Impact Records: Evidence from Lunar Samples and Meteorites|1884||6018|||77135|
2015LPICo1856.5152M|2015|Oxygen Isotopic Composition of Water in Selected Lunar Samples|Martinez, M. H., Thiemens, M. H.|78th Annual Meeting of the Meteoritical Society|1856||5152|||79035|
2014LPI....45.1905G|2014|Characterization of Mesostasis Areas in Mare Basalts: Petrography and Mineral Chemistry|Griffiths, A. A., Barnes, J. J., Tartèse, R., Potts, N. J., Anand, M.|Lunar and Planetary Science Conference|45|1777|1905|||70035|
2014AGUFM.P13D3841G|2014|Connecting Returned Apollo Soils and Remote Sensing: Application to the Diviner Lunar Radiometer|Greenhagen, B. T., Donaldson Hanna, K. L., Thomas, I., Bowles, N. E., Allen, C., Pieters, C. M., Paige, D. A.|AGU Fall Meeting Abstracts|||P13D|||70181|
2014DPS....4621315F|2014|Radar observations and physical modeling of binary near-Earth asteroid (1862) Apollo|Ford, Thomas F., Benner, Lance A., Brozovic, Marina, Leford, Bruce, Nolan, Michael C., Giorgini, Jon D., Ostro, Steve J., Margot, Jean-Luc|AAS/Division for Planetary Sciences Meeting Abstracts|46||213.15|||70275|
2014E&PSL.393...83S|2014|Early Carboniferous (̃357 Ma) crust beneath northern Arabia: Tales from Tell Thannoun (southern Syria)|Stern, Robert J., Ren, Minghua, Ali, Kamal, Förster, Hans-Jürgen, Al Safarjalani, Abdulrahman, Nasir, Sobhi, Whitehouse, Martin J., Leybourne, Matthew I., Romer, Rolf L.|Earth and Planetary Science Letters|393||83||http://dx.doi.org/10.1016/j.epsl.2014.02.043|70312|
2014P&SS..102..119M|2014|Character and origin of Phobos’ grooves|Murray, J. B., Heggie, D. C.|Planetary and Space Science|102||119||http://dx.doi.org/10.1016/j.pss.2014.03.001|71010|
2014RAA....14.1578L|2014|Data processing and preliminary results of the Chang'e-3 VIS/NIR Imaging Spectrometer in-situ analysis|Liu, Bin, Li, Chun-Lai, Zhang, Guang-Liang, Xu, Rui, Liu, Jian-Jun, Ren, Xin, Tan, Xu, Zhang, Xiao-Xia, Zuo, Wei, Wen, Wei-Bin|Research in Astronomy and Astrophysics|14|12|1578||http://dx.doi.org/10.1088/1674-4527/14/12/007|71061|
2014LPI....45.2731D|2014|The Provenance of High-Titanium Cumulate 71597|Donohue, P. H., Neal, C. R.|Lunar and Planetary Science Conference|45|1777|2731|||71597|
2014GeCoA.131...62S|2014|Characterization of the dominant impactor signature for Apollo 17 impact melt rocks|Sharp, Miriam, Gerasimenko, Iva, Loudin, Lorne C., Liu, Jingao, James, Odette B., Puchtel, Igor S., Walker, Richard J.|Geochimica et Cosmochimica Acta|131||62||http://dx.doi.org/10.1016/j.gca.2014.01.014|72355; 72435; 72535; 73235; 76035; 76055; 76135|
2014LPI....45.2669M|2014|Diverse Impact Histories of Apollo 17 Melt Breccias Revealed by In Situ 40Ar/39Ar Geochronology|Mercer, C. M., Young, K. E., Weirich, J. R., Hodges, K. V., Jolliff, B. L., Wartho, J. A., van Soest, M. C.|Lunar and Planetary Science Conference|45|1777|2669|||73217; 77115|
2014Icar..229..109F|2014|New evidence for chondritic lunar water from combined D/H and noble gas analyses of single Apollo 17 volcanic glasses|Füri, Evelyn, Deloule, Etienne, Gurenko, Andrey, Marty, Bernard|Icarus|229||109||http://dx.doi.org/10.1016/j.icarus.2013.10.029|74002|
2014AGUFM.P12B..01D|2014|Redox State of Iron in Lunar Glasses using X-ray Absorption Spectroscopy and Multivariate Analysis|Dyar, M. D., McCanta, M. C., Lanzirotti, A., Sutton, S. R., Carey, C. J., Mahadevan, S., Rutherford, M. J.|AGU Fall Meeting Abstracts|||P12B|||74220|
