0|PCh0HSLbbLY|-02:37:22|000:00:00
1|C_wRpCHmhhU|000:00:00|008:00:00
2|286j_hqO9Q8|008:00:00|016:00:00
3|AfAU_79dAd8|016:00:00|024:00:00
4|VE345fzF84Q|024:00:00|032:00:00
5|mZRVP4SzFMQ|032:00:00|040:00:00
6|aCJ22Vl3a8k|040:00:00|048:00:00
7|-npaJWdpNY8|048:00:00|056:00:00
8|NN8W0KKoMr8|056:00:00|064:00:00
9|Ec_pm0i47Uo|064:00:00|074:40:00
10|MhYwOOyUJY8|074:40:00|082:40:00
11|B2tYmFhnt0Q|082:40:00|090:40:00
12|Ulw1BE4bx90|090:40:00|098:40:00
13|GtvEA3KoHJ4|098:40:00|106:40:00
14|EQ6jxf6hffg|106:40:00|114:40:00
15|ouvocgnEjuA|114:40:00|122:40:00
16|akmLZC9hnhM|122:40:00|130:40:00
17|BwEPjopmbck|130:40:00|138:40:00
18|vBSzlMjpBuM|138:40:00|146:40:00
19|VPSaqNHgnWo|146:40:00|154:40:00
20|FG5tYtOtEtE|154:40:00|162:40:00
21|RWoMW9thdqc|162:40:00|170:40:00
22|0jiJ09dqZds|170:40:00|178:40:00
23|nUjsfAjPHGQ|178:40:00|186:40:00
24|K9GmVB-jvKg|186:40:00|194:40:00
25|RaonKYAZqCg|194:40:00|202:40:00
26|PvEXCE31TIA|202:40:00|210:40:00
27|bAyfD-qqaYA|210:40:00|218:40:00
28|xDH2qR5wP8Q|218:40:00|226:40:00
29|ChgcnwZ9xH8|226:40:00|234:40:00
30|aCHsMs77YPY|234:40:00|242:40:00
31|kLjJhSgNv_E|242:40:00|250:40:00
32|5c7bDWStBH4|250:40:00|258:40:00
33|oqcG7fsAe6M|258:40:00|266:40:00
34|VGAJZjJEUN0|266:40:00|274:40:00
35|D1DXH8SWNmk|274:40:00|282:40:00
36|gXaDs5dH1FQ|282:40:00|290:40:00
37|j3QTiLJIcS4|290:40:00|298:40:00
38|2Ae6Y-0Ltqc|298:40:00|306:40:00
