|2002|Coupled Ce-Nd isotopic systematics and rare earth elements differentiation of the moon|Tanimizu, M. and Tanaka, T.|Geochimica et Cosmochimica Acta|66.0||4007-4014 ||nan
|1981|Catalog of lunar mare basalts greater than 40 grams|Lofgren, G. E. and Lofgren, E. M.|nan|nan||nan||nan
|1978|Causes of compositional variations within mare basalt suites|Lindstrom, M. M. and Haskin, L. A.|Proceedings of the 9th Lunar and Planetary Science Conference|nan||465-486 ||nan
|1976|Cosmic ray exposure ages of Apollo 17 samples and the age of Tycho|Arvidson, R., Drozd, R. J., Guiness, E., Hohenberg, C., Morgan, C., Morrison, R., and Oberbeck, V.|Proceedings of the 7th Lunar Science Conference|nan||2817-2832 ||nan
|1976|Nature of the sulfur in the Apollo 17 basalts and their source regions (abs)|Gibson, E. K., Morris, R. V., and Usselman, T. M.|Proceedings of the 7th Lunar Science Conference|nan||290-292 ||nan
|1976|Sr isotopic constraints on the petrogenesis of Apollo 17 mare basalts|Nyquist, L. E., Bansal, B. M., and Wiesmann, H.|Proceedings of the 7th Lunar Science Conference|nan||1507-1528 ||nan
|1976|Chemistry, classification, and petrogenesis of Apollo 17 mare basalts|Rhodes, J. M., Hubbard, N. J., Wiesmann, H., Rodgers, K. V., Brannon, J. C., and Bansal, B. M.|Proceedings of the 7th Lunar Science Conference|nan||1467-1489 ||nan
|1975|Petrology and mineralogy of Apollo 17 mare basalts|Brown, G. M., Peckett, A., Emeleus, C. H., Phillips, R., and Pinsent, R. H.|Proceedings of the 6th Lunar Science Conference|nan||1-13 ||nan
|1975|Mineralogy and petrology of Apollo 17 basalts (abs)|Brown, G. M., Peckett, A., Phillips, R., and Emeleus, C. H.|Proceedings of the 6th Lunar Science Conference|nan||95-97 ||nan
|1975|Petrogenetic relationships among Apollo-17 basalts|Warner, R. D., Keil, K., Murali, A. V., and Schmitt, R. A.|Proceedings of the Conference on Origins of Mare Basalts and Their Implications for Lunar Evolution|nan||179-183 ||nan
